date,bomboniere nascita,isPartial
2018-01-07,67,False
2018-01-14,44,False
2018-01-21,65,False
2018-01-28,98,False
2018-02-04,38,False
2018-02-11,38,False
2018-02-18,42,False
2018-02-25,47,False
2018-03-04,42,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,17,False
2018-04-01,29,False
2018-04-08,54,False
2018-04-15,44,False
2018-04-22,52,False
2018-04-29,39,False
2018-05-06,71,False
2018-05-13,55,False
2018-05-20,39,False
2018-05-27,33,False
2018-06-03,44,False
2018-06-10,47,False
2018-06-17,44,False
2018-06-24,33,False
2018-07-01,54,False
2018-07-08,33,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,57,False
2018-08-05,53,False
2018-08-12,12,False
2018-08-19,30,False
2018-08-26,34,False
2018-09-02,97,False
2018-09-09,59,False
2018-09-16,53,False
2018-09-23,27,False
2018-09-30,22,False
2018-10-07,28,False
2018-10-14,33,False
2018-10-21,43,False
2018-10-28,27,False
2018-11-04,21,False
2018-11-11,27,False
2018-11-18,5,False
2018-11-25,5,False
2018-12-02,28,False
2018-12-09,33,False
2018-12-16,17,False
2018-12-23,32,False
2018-12-30,24,False
2019-01-06,44,False
2019-01-13,43,False
2019-01-20,36,False
2019-01-27,40,False
2019-02-03,31,False
2019-02-10,31,False
2019-02-17,37,False
2019-02-24,100,False
2019-03-03,50,False
2019-03-10,54,False
2019-03-17,38,False
2019-03-24,33,False
2019-03-31,71,False
2019-04-07,37,False
2019-04-14,33,False
2019-04-21,29,False
2019-04-28,54,False
2019-05-05,47,False
2019-05-12,16,False
2019-05-19,41,False
2019-05-26,40,False
2019-06-02,43,False
2019-06-09,16,False
2019-06-16,27,False
2019-06-23,17,False
2019-06-30,28,False
2019-07-07,16,False
2019-07-14,33,False
2019-07-21,11,False
2019-07-28,45,False
2019-08-04,23,False
2019-08-11,19,False
2019-08-18,75,False
2019-08-25,42,False
2019-09-01,49,False
2019-09-08,26,False
2019-09-15,30,False
2019-09-22,70,False
2019-09-29,35,False
2019-10-06,20,False
2019-10-13,51,False
2019-10-20,35,False
2019-10-27,25,False
2019-11-03,19,False
2019-11-10,10,False
2019-11-17,29,False
2019-11-24,19,False
2019-12-01,36,False
2019-12-08,20,False
2019-12-15,31,False
2019-12-22,24,False
2019-12-29,6,False
2020-01-05,50,False
2020-01-12,33,False
2020-01-19,28,False
2020-01-26,28,False
2020-02-02,46,False
2020-02-09,14,False
2020-02-16,38,False
2020-02-23,18,False
2020-03-01,31,False
2020-03-08,26,False
2020-03-15,30,False
2020-03-22,16,False
2020-03-29,12,False
2020-04-05,26,False
2020-04-12,17,False
2020-04-19,45,False
2020-04-26,29,True
