date,bomboniere nascita,isPartial
2018-01-07,24,False
2018-01-14,95,False
2018-01-21,71,False
2018-01-28,83,False
2018-02-04,69,False
2018-02-11,60,False
2018-02-18,48,False
2018-02-25,37,False
2018-03-04,50,False
2018-03-11,63,False
2018-03-18,50,False
2018-03-25,27,False
2018-04-01,28,False
2018-04-08,100,False
2018-04-15,63,False
2018-04-22,67,False
2018-04-29,39,False
2018-05-06,39,False
2018-05-13,63,False
2018-05-20,26,False
2018-05-27,40,False
2018-06-03,26,False
2018-06-10,35,False
2018-06-17,74,False
2018-06-24,49,False
2018-07-01,76,False
2018-07-08,25,False
2018-07-15,65,False
2018-07-22,61,False
2018-07-29,49,False
2018-08-05,70,False
2018-08-12,24,False
2018-08-19,33,False
2018-08-26,36,False
2018-09-02,48,False
2018-09-09,62,False
2018-09-16,47,False
2018-09-23,48,False
2018-09-30,72,False
2018-10-07,37,False
2018-10-14,50,False
2018-10-21,50,False
2018-10-28,61,False
2018-11-04,88,False
2018-11-11,26,False
2018-11-18,26,False
2018-11-25,0,False
2018-12-02,27,False
2018-12-09,79,False
2018-12-16,28,False
2018-12-23,43,False
2018-12-30,26,False
2019-01-06,49,False
2019-01-13,37,False
2019-01-20,46,False
2019-01-27,59,False
2019-02-03,46,False
2019-02-10,35,False
2019-02-17,48,False
2019-02-24,36,False
2019-03-03,25,False
2019-03-10,72,False
2019-03-17,48,False
2019-03-24,24,False
2019-03-31,59,False
2019-04-07,0,False
2019-04-14,37,False
2019-04-21,39,False
2019-04-28,73,False
2019-05-05,72,False
2019-05-12,23,False
2019-05-19,72,False
2019-05-26,56,False
2019-06-02,24,False
2019-06-09,51,False
2019-06-16,26,False
2019-06-23,0,False
2019-06-30,38,False
2019-07-07,0,False
2019-07-14,36,False
2019-07-21,50,False
2019-07-28,0,False
2019-08-04,48,False
2019-08-11,37,False
2019-08-18,45,False
2019-08-25,44,False
2019-09-01,54,False
2019-09-08,35,False
2019-09-15,34,False
2019-09-22,92,False
2019-09-29,23,False
2019-10-06,46,False
2019-10-13,72,False
2019-10-20,56,False
2019-10-27,47,False
2019-11-03,79,False
2019-11-10,47,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,25,False
2019-12-22,27,False
2019-12-29,63,False
2020-01-05,35,False
2020-01-12,57,False
2020-01-19,23,False
2020-01-26,57,False
2020-02-02,22,False
2020-02-09,46,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,43,False
2020-03-08,79,False
2020-03-15,29,False
2020-03-22,54,False
2020-03-29,18,False
2020-04-05,29,False
2020-04-12,30,False
2020-04-19,65,False
2020-04-26,81,True
