date,bomboniere nascita,isPartial
2018-01-07,92,False
2018-01-14,30,False
2018-01-21,29,False
2018-01-28,30,False
2018-02-04,59,False
2018-02-11,59,False
2018-02-18,72,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,28,False
2018-03-18,57,False
2018-03-25,30,False
2018-04-01,94,False
2018-04-08,43,False
2018-04-15,59,False
2018-04-22,30,False
2018-04-29,30,False
2018-05-06,57,False
2018-05-13,85,False
2018-05-20,28,False
2018-05-27,43,False
2018-06-03,88,False
2018-06-10,29,False
2018-06-17,44,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,30,False
2018-07-15,30,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,34,False
2018-08-12,39,False
2018-08-19,38,False
2018-08-26,47,False
2018-09-02,42,False
2018-09-09,55,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,28,False
2018-10-14,0,False
2018-10-21,27,False
2018-10-28,27,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,27,False
2018-12-16,0,False
2018-12-23,100,False
2018-12-30,32,False
2019-01-06,0,False
2019-01-13,27,False
2019-01-20,0,False
2019-01-27,26,False
2019-02-03,0,False
2019-02-10,54,False
2019-02-17,27,False
2019-02-24,28,False
2019-03-03,56,False
2019-03-10,28,False
2019-03-17,57,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,28,False
2019-04-14,44,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,28,False
2019-05-12,28,False
2019-05-19,27,False
2019-05-26,27,False
2019-06-02,29,False
2019-06-09,70,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,29,False
2019-07-07,58,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,31,False
2019-08-04,51,False
2019-08-11,0,False
2019-08-18,36,False
2019-08-25,0,False
2019-09-01,27,False
2019-09-08,27,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,26,False
2019-10-06,53,False
2019-10-13,26,False
2019-10-20,25,False
2019-10-27,52,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,76,False
2019-11-24,50,False
2019-12-01,52,False
2019-12-08,0,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,31,False
2020-01-05,52,False
2020-01-12,24,False
2020-01-19,100,False
2020-01-26,24,False
2020-02-02,0,False
2020-02-09,24,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,23,False
2020-03-08,45,False
2020-03-15,47,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,0,False
2020-04-12,48,False
2020-04-19,23,False
2020-04-26,38,True
