date,les mathématiques,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,40,False
2018-01-28,53,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,21,False
2018-02-25,20,False
2018-03-04,20,False
2018-03-11,29,False
2018-03-18,20,False
2018-03-25,59,False
2018-04-01,0,False
2018-04-08,20,False
2018-04-15,21,False
2018-04-22,41,False
2018-04-29,0,False
2018-05-06,21,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,39,False
2018-06-03,20,False
2018-06-10,58,False
2018-06-17,33,False
2018-06-24,20,False
2018-07-01,20,False
2018-07-08,0,False
2018-07-15,22,False
2018-07-22,0,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,24,False
2018-08-19,46,False
2018-08-26,32,False
2018-09-02,52,False
2018-09-09,41,False
2018-09-16,20,False
2018-09-23,27,False
2018-09-30,41,False
2018-10-07,0,False
2018-10-14,27,False
2018-10-21,31,False
2018-10-28,20,False
2018-11-04,0,False
2018-11-11,20,False
2018-11-18,39,False
2018-11-25,39,False
2018-12-02,19,False
2018-12-09,40,False
2018-12-16,20,False
2018-12-23,23,False
2018-12-30,22,False
2019-01-06,48,False
2019-01-13,19,False
2019-01-20,18,False
2019-01-27,36,False
2019-02-03,39,False
2019-02-10,40,False
2019-02-17,21,False
2019-02-24,39,False
2019-03-03,19,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,29,False
2019-04-28,0,False
2019-05-05,17,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,17,False
2019-06-02,16,False
2019-06-09,17,False
2019-06-16,18,False
2019-06-23,0,False
2019-06-30,18,False
2019-07-07,18,False
2019-07-14,37,False
2019-07-21,19,False
2019-07-28,19,False
2019-08-04,21,False
2019-08-11,64,False
2019-08-18,22,False
2019-08-25,0,False
2019-09-01,19,False
2019-09-08,32,False
2019-09-15,29,False
2019-09-22,17,False
2019-09-29,16,False
2019-10-06,26,False
2019-10-13,32,False
2019-10-20,16,False
2019-10-27,22,False
2019-11-03,16,False
2019-11-10,31,False
2019-11-17,16,False
2019-11-24,20,False
2019-12-01,17,False
2019-12-08,17,False
2019-12-15,29,False
2019-12-22,19,False
2019-12-29,18,False
2020-01-05,16,False
2020-01-12,30,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,30,False
2020-02-09,23,False
2020-02-16,15,False
2020-02-23,24,False
2020-03-01,16,False
2020-03-08,15,False
2020-03-15,28,False
2020-03-22,34,False
2020-03-29,41,False
2020-04-05,41,False
2020-04-12,14,False
2020-04-19,14,False
2020-04-26,30,False
2020-05-03,22,False
2020-05-10,14,False
2020-05-17,100,True
