date,Blechverarbeitung,isPartial
2018-01-07,87,False
2018-01-14,0,False
2018-01-21,86,False
2018-01-28,44,False
2018-02-04,45,False
2018-02-11,44,False
2018-02-18,44,False
2018-02-25,0,False
2018-03-04,45,False
2018-03-11,44,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,48,False
2018-04-08,0,False
2018-04-15,46,False
2018-04-22,45,False
2018-04-29,0,False
2018-05-06,96,False
2018-05-13,46,False
2018-05-20,50,False
2018-05-27,49,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,45,False
2018-06-24,45,False
2018-07-01,45,False
2018-07-08,68,False
2018-07-15,45,False
2018-07-22,46,False
2018-07-29,48,False
2018-08-05,49,False
2018-08-12,100,False
2018-08-19,0,False
2018-08-26,100,False
2018-09-02,71,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,46,False
2018-09-30,93,False
2018-10-07,45,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,46,False
2018-11-04,44,False
2018-11-11,44,False
2018-11-18,84,False
2018-11-25,43,False
2018-12-02,43,False
2018-12-09,0,False
2018-12-16,45,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,41,False
2019-01-13,41,False
2019-01-20,41,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,42,False
2019-02-17,42,False
2019-02-24,86,False
2019-03-03,43,False
2019-03-10,83,False
2019-03-17,43,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,42,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,41,False
2019-05-12,42,False
2019-05-19,61,False
2019-05-26,0,False
2019-06-02,43,False
2019-06-09,0,False
2019-06-16,45,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,41,False
2019-07-14,65,False
2019-07-21,45,False
2019-07-28,45,False
2019-08-04,47,False
2019-08-11,46,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,43,False
2019-09-15,0,False
2019-09-22,42,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,40,False
2019-10-27,40,False
2019-11-03,39,False
2019-11-10,39,False
2019-11-17,39,False
2019-11-24,0,False
2019-12-01,40,False
2019-12-08,39,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,39,False
2020-01-12,37,False
2020-01-19,38,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,75,False
2020-02-16,39,False
2020-02-23,37,False
2020-03-01,37,False
2020-03-08,35,False
2020-03-15,34,False
2020-03-22,33,False
2020-03-29,0,False
2020-04-05,55,False
2020-04-12,71,False
2020-04-19,34,False
2020-04-26,50,False
2020-05-03,0,False
2020-05-10,33,False
