date,Blechverarbeitung,isPartial
2018-01-07,33,False
2018-01-14,49,False
2018-01-21,33,False
2018-01-28,88,False
2018-02-04,81,False
2018-02-11,27,False
2018-02-18,60,False
2018-02-25,73,False
2018-03-04,53,False
2018-03-11,40,False
2018-03-18,33,False
2018-03-25,53,False
2018-04-01,21,False
2018-04-08,41,False
2018-04-15,28,False
2018-04-22,30,False
2018-04-29,42,False
2018-05-06,32,False
2018-05-13,47,False
2018-05-20,21,False
2018-05-27,69,False
2018-06-03,100,False
2018-06-10,45,False
2018-06-17,66,False
2018-06-24,51,False
2018-07-01,27,False
2018-07-08,40,False
2018-07-15,42,False
2018-07-22,52,False
2018-07-29,48,False
2018-08-05,41,False
2018-08-12,42,False
2018-08-19,28,False
2018-08-26,62,False
2018-09-02,27,False
2018-09-09,30,False
2018-09-16,47,False
2018-09-23,61,False
2018-09-30,20,False
2018-10-07,61,False
2018-10-14,71,False
2018-10-21,20,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,44,False
2018-11-25,49,False
2018-12-02,51,False
2018-12-09,29,False
2018-12-16,40,False
2018-12-23,23,False
2018-12-30,41,False
2019-01-06,43,False
2019-01-13,55,False
2019-01-20,46,False
2019-01-27,37,False
2019-02-03,19,False
2019-02-10,38,False
2019-02-17,38,False
2019-02-24,32,False
2019-03-03,44,False
2019-03-10,19,False
2019-03-17,32,False
2019-03-24,26,False
2019-03-31,32,False
2019-04-07,29,False
2019-04-14,21,False
2019-04-21,27,False
2019-04-28,31,False
2019-05-05,50,False
2019-05-12,58,False
2019-05-19,28,False
2019-05-26,29,False
2019-06-02,38,False
2019-06-09,39,False
2019-06-16,39,False
2019-06-23,26,False
2019-06-30,26,False
2019-07-07,25,False
2019-07-14,39,False
2019-07-21,48,False
2019-07-28,71,False
2019-08-04,31,False
2019-08-11,39,False
2019-08-18,39,False
2019-08-25,39,False
2019-09-01,44,False
2019-09-08,19,False
2019-09-15,48,False
2019-09-22,49,False
2019-09-29,31,False
2019-10-06,43,False
2019-10-13,18,False
2019-10-20,18,False
2019-10-27,27,False
2019-11-03,23,False
2019-11-10,29,False
2019-11-17,41,False
2019-11-24,46,False
2019-12-01,45,False
2019-12-08,18,False
2019-12-15,36,False
2019-12-22,42,False
2019-12-29,19,False
2020-01-05,34,False
2020-01-12,33,False
2020-01-19,28,False
2020-01-26,33,False
2020-02-02,42,False
2020-02-09,49,False
2020-02-16,34,False
2020-02-23,50,False
2020-03-01,27,False
2020-03-08,16,False
2020-03-15,20,False
2020-03-22,40,False
2020-03-29,30,False
2020-04-05,33,False
2020-04-12,32,False
2020-04-19,46,False
2020-04-26,35,False
2020-05-03,35,False
2020-05-10,26,False
