date,Wasserhahn undicht,isPartial
2018-01-07,44,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,59,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,60,False
2018-02-25,45,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,30,False
2018-03-25,64,False
2018-04-01,64,False
2018-04-08,46,False
2018-04-15,64,False
2018-04-22,30,False
2018-04-29,94,False
2018-05-06,32,False
2018-05-13,45,False
2018-05-20,97,False
2018-05-27,31,False
2018-06-03,60,False
2018-06-10,44,False
2018-06-17,30,False
2018-06-24,31,False
2018-07-01,60,False
2018-07-08,30,False
2018-07-15,63,False
2018-07-22,63,False
2018-07-29,0,False
2018-08-05,46,False
2018-08-12,32,False
2018-08-19,78,False
2018-08-26,31,False
2018-09-02,46,False
2018-09-09,30,False
2018-09-16,0,False
2018-09-23,46,False
2018-09-30,91,False
2018-10-07,30,False
2018-10-14,91,False
2018-10-21,60,False
2018-10-28,44,False
2018-11-04,29,False
2018-11-11,60,False
2018-11-18,43,False
2018-11-25,58,False
2018-12-02,58,False
2018-12-09,88,False
2018-12-16,30,False
2018-12-23,0,False
2018-12-30,47,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,55,False
2019-01-27,55,False
2019-02-03,85,False
2019-02-10,57,False
2019-02-17,57,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,84,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,57,False
2019-04-14,31,False
2019-04-21,76,False
2019-04-28,56,False
2019-05-05,56,False
2019-05-12,43,False
2019-05-19,43,False
2019-05-26,29,False
2019-06-02,71,False
2019-06-09,88,False
2019-06-16,30,False
2019-06-23,44,False
2019-06-30,58,False
2019-07-07,29,False
2019-07-14,89,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,61,False
2019-08-11,29,False
2019-08-18,30,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,29,False
2019-09-15,0,False
2019-09-22,28,False
2019-09-29,56,False
2019-10-06,42,False
2019-10-13,55,False
2019-10-20,41,False
2019-10-27,0,False
2019-11-03,39,False
2019-11-10,53,False
2019-11-17,0,False
2019-11-24,79,False
2019-12-01,27,False
2019-12-08,27,False
2019-12-15,68,False
2019-12-22,78,False
2019-12-29,43,False
2020-01-05,64,False
2020-01-12,49,False
2020-01-19,76,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,39,False
2020-02-23,50,False
2020-03-01,25,False
2020-03-08,0,False
2020-03-15,69,False
2020-03-22,57,False
2020-03-29,57,False
2020-04-05,100,False
2020-04-12,72,False
2020-04-19,46,False
2020-04-26,45,False
2020-05-03,92,False
2020-05-10,58,False
