date,festival,isPartial
2018-01-07,11,False
2018-01-14,12,False
2018-01-21,12,False
2018-01-28,19,False
2018-02-04,83,False
2018-02-11,43,False
2018-02-18,13,False
2018-02-25,12,False
2018-03-04,12,False
2018-03-11,16,False
2018-03-18,16,False
2018-03-25,13,False
2018-04-01,16,False
2018-04-08,18,False
2018-04-15,21,False
2018-04-22,23,False
2018-04-29,24,False
2018-05-06,22,False
2018-05-13,23,False
2018-05-20,23,False
2018-05-27,25,False
2018-06-03,27,False
2018-06-10,26,False
2018-06-17,39,False
2018-06-24,38,False
2018-07-01,40,False
2018-07-08,41,False
2018-07-15,37,False
2018-07-22,39,False
2018-07-29,29,False
2018-08-05,25,False
2018-08-12,24,False
2018-08-19,26,False
2018-08-26,36,False
2018-09-02,32,False
2018-09-09,27,False
2018-09-16,29,False
2018-09-23,18,False
2018-09-30,19,False
2018-10-07,18,False
2018-10-14,15,False
2018-10-21,14,False
2018-10-28,12,False
2018-11-04,12,False
2018-11-11,10,False
2018-11-18,10,False
2018-11-25,10,False
2018-12-02,9,False
2018-12-09,9,False
2018-12-16,8,False
2018-12-23,8,False
2018-12-30,9,False
2019-01-06,12,False
2019-01-13,13,False
2019-01-20,15,False
2019-01-27,16,False
2019-02-03,76,False
2019-02-10,59,False
2019-02-17,16,False
2019-02-24,14,False
2019-03-03,14,False
2019-03-10,15,False
2019-03-17,16,False
2019-03-24,16,False
2019-03-31,18,False
2019-04-07,17,False
2019-04-14,18,False
2019-04-21,22,False
2019-04-28,25,False
2019-05-05,21,False
2019-05-12,21,False
2019-05-19,24,False
2019-05-26,23,False
2019-06-02,29,False
2019-06-09,29,False
2019-06-16,33,False
2019-06-23,35,False
2019-06-30,37,False
2019-07-07,37,False
2019-07-14,33,False
2019-07-21,33,False
2019-07-28,32,False
2019-08-04,28,False
2019-08-11,29,False
2019-08-18,25,False
2019-08-25,29,False
2019-09-01,35,False
2019-09-08,29,False
2019-09-15,21,False
2019-09-22,19,False
2019-09-29,17,False
2019-10-06,19,False
2019-10-13,16,False
2019-10-20,15,False
2019-10-27,14,False
2019-11-03,13,False
2019-11-10,12,False
2019-11-17,11,False
2019-11-24,9,False
2019-12-01,9,False
2019-12-08,8,False
2019-12-15,8,False
2019-12-22,8,False
2019-12-29,10,False
2020-01-05,12,False
2020-01-12,16,False
2020-01-19,14,False
2020-01-26,16,False
2020-02-02,100,False
2020-02-09,52,False
2020-02-16,13,False
2020-02-23,9,False
2020-03-01,9,False
2020-03-08,5,False
2020-03-15,5,False
2020-03-22,5,False
2020-03-29,6,False
2020-04-05,6,False
2020-04-12,5,False
2020-04-19,5,False
2020-04-26,5,True
