date,festival,isPartial
2018-01-07,10,False
2018-01-14,8,False
2018-01-21,12,False
2018-01-28,18,False
2018-02-04,86,False
2018-02-11,22,False
2018-02-18,13,False
2018-02-25,5,False
2018-03-04,6,False
2018-03-11,6,False
2018-03-18,8,False
2018-03-25,6,False
2018-04-01,27,False
2018-04-08,64,False
2018-04-15,18,False
2018-04-22,31,False
2018-04-29,21,False
2018-05-06,14,False
2018-05-13,20,False
2018-05-20,32,False
2018-05-27,16,False
2018-06-03,14,False
2018-06-10,17,False
2018-06-17,36,False
2018-06-24,52,False
2018-07-01,65,False
2018-07-08,50,False
2018-07-15,40,False
2018-07-22,53,False
2018-07-29,29,False
2018-08-05,21,False
2018-08-12,21,False
2018-08-19,36,False
2018-08-26,42,False
2018-09-02,34,False
2018-09-09,16,False
2018-09-16,27,False
2018-09-23,22,False
2018-09-30,16,False
2018-10-07,10,False
2018-10-14,30,False
2018-10-21,10,False
2018-10-28,8,False
2018-11-04,10,False
2018-11-11,10,False
2018-11-18,4,False
2018-11-25,12,False
2018-12-02,8,False
2018-12-09,12,False
2018-12-16,8,False
2018-12-23,7,False
2018-12-30,8,False
2019-01-06,8,False
2019-01-13,12,False
2019-01-20,13,False
2019-01-27,11,False
2019-02-03,76,False
2019-02-10,52,False
2019-02-17,12,False
2019-02-24,8,False
2019-03-03,6,False
2019-03-10,10,False
2019-03-17,10,False
2019-03-24,8,False
2019-03-31,51,False
2019-04-07,16,False
2019-04-14,24,False
2019-04-21,20,False
2019-04-28,13,False
2019-05-05,9,False
2019-05-12,11,False
2019-05-19,16,False
2019-05-26,19,False
2019-06-02,30,False
2019-06-09,38,False
2019-06-16,26,False
2019-06-23,37,False
2019-06-30,68,False
2019-07-07,57,False
2019-07-14,47,False
2019-07-21,34,False
2019-07-28,37,False
2019-08-04,38,False
2019-08-11,42,False
2019-08-18,32,False
2019-08-25,33,False
2019-09-01,35,False
2019-09-08,23,False
2019-09-15,5,False
2019-09-22,16,False
2019-09-29,16,False
2019-10-06,30,False
2019-10-13,15,False
2019-10-20,9,False
2019-10-27,7,False
2019-11-03,12,False
2019-11-10,2,False
2019-11-17,0,False
2019-11-24,11,False
2019-12-01,5,False
2019-12-08,7,False
2019-12-15,6,False
2019-12-22,2,False
2019-12-29,20,False
2020-01-05,14,False
2020-01-12,10,False
2020-01-19,14,False
2020-01-26,7,False
2020-02-02,100,False
2020-02-09,41,False
2020-02-16,12,False
2020-02-23,11,False
2020-03-01,8,False
2020-03-08,6,False
2020-03-15,6,False
2020-03-22,5,False
2020-03-29,1,False
2020-04-05,6,False
2020-04-12,7,False
2020-04-19,7,False
2020-04-26,5,True
