date,festival,isPartial
2018-01-07,12,False
2018-01-14,9,False
2018-01-21,13,False
2018-01-28,11,False
2018-02-04,80,False
2018-02-11,40,False
2018-02-18,15,False
2018-02-25,10,False
2018-03-04,10,False
2018-03-11,16,False
2018-03-18,16,False
2018-03-25,11,False
2018-04-01,18,False
2018-04-08,23,False
2018-04-15,23,False
2018-04-22,20,False
2018-04-29,19,False
2018-05-06,18,False
2018-05-13,16,False
2018-05-20,21,False
2018-05-27,23,False
2018-06-03,22,False
2018-06-10,36,False
2018-06-17,31,False
2018-06-24,38,False
2018-07-01,44,False
2018-07-08,58,False
2018-07-15,41,False
2018-07-22,37,False
2018-07-29,24,False
2018-08-05,25,False
2018-08-12,25,False
2018-08-19,24,False
2018-08-26,24,False
2018-09-02,22,False
2018-09-09,21,False
2018-09-16,25,False
2018-09-23,18,False
2018-09-30,20,False
2018-10-07,19,False
2018-10-14,14,False
2018-10-21,16,False
2018-10-28,17,False
2018-11-04,17,False
2018-11-11,13,False
2018-11-18,16,False
2018-11-25,9,False
2018-12-02,6,False
2018-12-09,8,False
2018-12-16,11,False
2018-12-23,9,False
2018-12-30,10,False
2019-01-06,11,False
2019-01-13,11,False
2019-01-20,18,False
2019-01-27,10,False
2019-02-03,75,False
2019-02-10,58,False
2019-02-17,14,False
2019-02-24,13,False
2019-03-03,12,False
2019-03-10,13,False
2019-03-17,17,False
2019-03-24,17,False
2019-03-31,20,False
2019-04-07,18,False
2019-04-14,18,False
2019-04-21,20,False
2019-04-28,14,False
2019-05-05,16,False
2019-05-12,22,False
2019-05-19,19,False
2019-05-26,18,False
2019-06-02,25,False
2019-06-09,31,False
2019-06-16,33,False
2019-06-23,44,False
2019-06-30,44,False
2019-07-07,60,False
2019-07-14,45,False
2019-07-21,34,False
2019-07-28,30,False
2019-08-04,24,False
2019-08-11,27,False
2019-08-18,20,False
2019-08-25,29,False
2019-09-01,31,False
2019-09-08,20,False
2019-09-15,15,False
2019-09-22,17,False
2019-09-29,16,False
2019-10-06,22,False
2019-10-13,17,False
2019-10-20,12,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,15,False
2019-11-17,8,False
2019-11-24,9,False
2019-12-01,6,False
2019-12-08,7,False
2019-12-15,6,False
2019-12-22,7,False
2019-12-29,10,False
2020-01-05,10,False
2020-01-12,16,False
2020-01-19,12,False
2020-01-26,16,False
2020-02-02,100,False
2020-02-09,55,False
2020-02-16,12,False
2020-02-23,9,False
2020-03-01,7,False
2020-03-08,2,False
2020-03-15,4,False
2020-03-22,6,False
2020-03-29,4,False
2020-04-05,5,False
2020-04-12,6,False
2020-04-19,4,False
2020-04-26,5,True
