date,Fassadenverkleidung,isPartial
2018-01-07,28,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,43,False
2018-02-04,29,False
2018-02-11,0,False
2018-02-18,100,False
2018-02-25,56,False
2018-03-04,0,False
2018-03-11,56,False
2018-03-18,39,False
2018-03-25,59,False
2018-04-01,87,False
2018-04-08,58,False
2018-04-15,30,False
2018-04-22,28,False
2018-04-29,58,False
2018-05-06,30,False
2018-05-13,28,False
2018-05-20,49,False
2018-05-27,41,False
2018-06-03,56,False
2018-06-10,27,False
2018-06-17,97,False
2018-06-24,0,False
2018-07-01,59,False
2018-07-08,59,False
2018-07-15,31,False
2018-07-22,30,False
2018-07-29,85,False
2018-08-05,40,False
2018-08-12,27,False
2018-08-19,35,False
2018-08-26,55,False
2018-09-02,56,False
2018-09-09,56,False
2018-09-16,28,False
2018-09-23,28,False
2018-09-30,29,False
2018-10-07,29,False
2018-10-14,56,False
2018-10-21,41,False
2018-10-28,0,False
2018-11-04,27,False
2018-11-11,28,False
2018-11-18,0,False
2018-11-25,42,False
2018-12-02,0,False
2018-12-09,84,False
2018-12-16,43,False
2018-12-23,62,False
2018-12-30,0,False
2019-01-06,26,False
2019-01-13,26,False
2019-01-20,0,False
2019-01-27,35,False
2019-02-03,40,False
2019-02-10,27,False
2019-02-17,54,False
2019-02-24,64,False
2019-03-03,44,False
2019-03-10,69,False
2019-03-17,67,False
2019-03-24,27,False
2019-03-31,41,False
2019-04-07,29,False
2019-04-14,30,False
2019-04-21,47,False
2019-04-28,27,False
2019-05-05,27,False
2019-05-12,27,False
2019-05-19,26,False
2019-05-26,41,False
2019-06-02,39,False
2019-06-09,0,False
2019-06-16,53,False
2019-06-23,81,False
2019-06-30,53,False
2019-07-07,41,False
2019-07-14,100,False
2019-07-21,30,False
2019-07-28,84,False
2019-08-04,55,False
2019-08-11,50,False
2019-08-18,26,False
2019-08-25,51,False
2019-09-01,25,False
2019-09-08,26,False
2019-09-15,39,False
2019-09-22,39,False
2019-09-29,39,False
2019-10-06,52,False
2019-10-13,51,False
2019-10-20,34,False
2019-10-27,25,False
2019-11-03,48,False
2019-11-10,49,False
2019-11-17,37,False
2019-11-24,24,False
2019-12-01,24,False
2019-12-08,61,False
2019-12-15,50,False
2019-12-22,41,False
2019-12-29,25,False
2020-01-05,46,False
2020-01-12,57,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,39,False
2020-02-09,38,False
2020-02-16,39,False
2020-02-23,55,False
2020-03-01,23,False
2020-03-08,29,False
2020-03-15,50,False
2020-03-22,22,False
2020-03-29,43,False
2020-04-05,47,False
2020-04-12,68,False
2020-04-19,55,False
2020-04-26,70,False
2020-05-03,58,False
2020-05-10,35,False
