date,Fassadenverkleidung,isPartial
2018-01-07,32,False
2018-01-14,0,False
2018-01-21,32,False
2018-01-28,65,False
2018-02-04,33,False
2018-02-11,66,False
2018-02-18,44,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,32,False
2018-03-18,45,False
2018-03-25,71,False
2018-04-01,36,False
2018-04-08,52,False
2018-04-15,36,False
2018-04-22,35,False
2018-04-29,71,False
2018-05-06,35,False
2018-05-13,34,False
2018-05-20,35,False
2018-05-27,35,False
2018-06-03,35,False
2018-06-10,0,False
2018-06-17,35,False
2018-06-24,54,False
2018-07-01,54,False
2018-07-08,54,False
2018-07-15,73,False
2018-07-22,73,False
2018-07-29,53,False
2018-08-05,69,False
2018-08-12,35,False
2018-08-19,69,False
2018-08-26,34,False
2018-09-02,100,False
2018-09-09,34,False
2018-09-16,34,False
2018-09-23,34,False
2018-09-30,36,False
2018-10-07,35,False
2018-10-14,0,False
2018-10-21,33,False
2018-10-28,33,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,0,False
2018-11-25,35,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,35,False
2018-12-23,41,False
2018-12-30,37,False
2019-01-06,51,False
2019-01-13,33,False
2019-01-20,32,False
2019-01-27,43,False
2019-02-03,33,False
2019-02-10,65,False
2019-02-17,49,False
2019-02-24,34,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,34,False
2019-03-24,33,False
2019-03-31,33,False
2019-04-07,44,False
2019-04-14,72,False
2019-04-21,35,False
2019-04-28,0,False
2019-05-05,32,False
2019-05-12,66,False
2019-05-19,54,False
2019-05-26,68,False
2019-06-02,43,False
2019-06-09,67,False
2019-06-16,51,False
2019-06-23,69,False
2019-06-30,35,False
2019-07-07,34,False
2019-07-14,0,False
2019-07-21,36,False
2019-07-28,36,False
2019-08-04,35,False
2019-08-11,49,False
2019-08-18,33,False
2019-08-25,44,False
2019-09-01,97,False
2019-09-08,33,False
2019-09-15,0,False
2019-09-22,66,False
2019-09-29,70,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,31,False
2019-10-27,0,False
2019-11-03,31,False
2019-11-10,30,False
2019-11-17,31,False
2019-11-24,30,False
2019-12-01,46,False
2019-12-08,31,False
2019-12-15,32,False
2019-12-22,75,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,44,False
2020-01-19,30,False
2020-01-26,30,False
2020-02-02,29,False
2020-02-09,29,False
2020-02-16,45,False
2020-02-23,44,False
2020-03-01,58,False
2020-03-08,28,False
2020-03-15,27,False
2020-03-22,28,False
2020-03-29,82,False
2020-04-05,30,False
2020-04-12,48,False
2020-04-19,41,False
2020-04-26,55,False
2020-05-03,27,False
2020-05-10,46,False
