date,Fassadenverkleidung,isPartial
2018-01-07,49,False
2018-01-14,33,False
2018-01-21,37,False
2018-01-28,25,False
2018-02-04,25,False
2018-02-11,39,False
2018-02-18,51,False
2018-02-25,59,False
2018-03-04,26,False
2018-03-11,51,False
2018-03-18,26,False
2018-03-25,46,False
2018-04-01,75,False
2018-04-08,44,False
2018-04-15,27,False
2018-04-22,34,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,34,False
2018-05-20,0,False
2018-05-27,45,False
2018-06-03,59,False
2018-06-10,73,False
2018-06-17,0,False
2018-06-24,65,False
2018-07-01,32,False
2018-07-08,48,False
2018-07-15,57,False
2018-07-22,49,False
2018-07-29,38,False
2018-08-05,39,False
2018-08-12,83,False
2018-08-19,28,False
2018-08-26,81,False
2018-09-02,53,False
2018-09-09,43,False
2018-09-16,43,False
2018-09-23,26,False
2018-09-30,64,False
2018-10-07,50,False
2018-10-14,51,False
2018-10-21,25,False
2018-10-28,0,False
2018-11-04,73,False
2018-11-11,37,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,48,False
2018-12-09,0,False
2018-12-16,42,False
2018-12-23,44,False
2018-12-30,80,False
2019-01-06,47,False
2019-01-13,34,False
2019-01-20,23,False
2019-01-27,31,False
2019-02-03,61,False
2019-02-10,39,False
2019-02-17,47,False
2019-02-24,48,False
2019-03-03,24,False
2019-03-10,71,False
2019-03-17,100,False
2019-03-24,37,False
2019-03-31,50,False
2019-04-07,36,False
2019-04-14,53,False
2019-04-21,77,False
2019-04-28,48,False
2019-05-05,58,False
2019-05-12,40,False
2019-05-19,71,False
2019-05-26,74,False
2019-06-02,61,False
2019-06-09,68,False
2019-06-16,38,False
2019-06-23,49,False
2019-06-30,32,False
2019-07-07,46,False
2019-07-14,40,False
2019-07-21,33,False
2019-07-28,33,False
2019-08-04,77,False
2019-08-11,39,False
2019-08-18,44,False
2019-08-25,38,False
2019-09-01,49,False
2019-09-08,36,False
2019-09-15,24,False
2019-09-22,31,False
2019-09-29,24,False
2019-10-06,23,False
2019-10-13,46,False
2019-10-20,46,False
2019-10-27,34,False
2019-11-03,44,False
2019-11-10,23,False
2019-11-17,23,False
2019-11-24,66,False
2019-12-01,46,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,99,False
2020-01-05,33,False
2020-01-12,43,False
2020-01-19,36,False
2020-01-26,32,False
2020-02-02,43,False
2020-02-09,62,False
2020-02-16,44,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,30,False
2020-03-15,19,False
2020-03-22,32,False
2020-03-29,39,False
2020-04-05,32,False
2020-04-12,95,False
2020-04-19,53,False
2020-04-26,52,False
2020-05-03,59,False
2020-05-10,40,False
