date,Asbestsanierung,isPartial
2018-01-07,31,False
2018-01-14,51,False
2018-01-21,68,False
2018-01-28,31,False
2018-02-04,35,False
2018-02-11,56,False
2018-02-18,28,False
2018-02-25,41,False
2018-03-04,21,False
2018-03-11,69,False
2018-03-18,31,False
2018-03-25,37,False
2018-04-01,37,False
2018-04-08,85,False
2018-04-15,29,False
2018-04-22,21,False
2018-04-29,51,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,44,False
2018-05-27,43,False
2018-06-03,42,False
2018-06-10,47,False
2018-06-17,34,False
2018-06-24,32,False
2018-07-01,35,False
2018-07-08,31,False
2018-07-15,32,False
2018-07-22,43,False
2018-07-29,43,False
2018-08-05,57,False
2018-08-12,36,False
2018-08-19,43,False
2018-08-26,36,False
2018-09-02,63,False
2018-09-09,85,False
2018-09-16,0,False
2018-09-23,36,False
2018-09-30,31,False
2018-10-07,42,False
2018-10-14,49,False
2018-10-21,27,False
2018-10-28,27,False
2018-11-04,46,False
2018-11-11,34,False
2018-11-18,20,False
2018-11-25,40,False
2018-12-02,47,False
2018-12-09,34,False
2018-12-16,63,False
2018-12-23,32,False
2018-12-30,36,False
2019-01-06,39,False
2019-01-13,76,False
2019-01-20,32,False
2019-01-27,38,False
2019-02-03,52,False
2019-02-10,39,False
2019-02-17,39,False
2019-02-24,54,False
2019-03-03,33,False
2019-03-10,83,False
2019-03-17,60,False
2019-03-24,47,False
2019-03-31,53,False
2019-04-07,100,False
2019-04-14,29,False
2019-04-21,31,False
2019-04-28,20,False
2019-05-05,26,False
2019-05-12,53,False
2019-05-19,72,False
2019-05-26,34,False
2019-06-02,59,False
2019-06-09,40,False
2019-06-16,20,False
2019-06-23,61,False
2019-06-30,40,False
2019-07-07,33,False
2019-07-14,34,False
2019-07-21,29,False
2019-07-28,28,False
2019-08-04,32,False
2019-08-11,74,False
2019-08-18,34,False
2019-08-25,27,False
2019-09-01,32,False
2019-09-08,46,False
2019-09-15,59,False
2019-09-22,38,False
2019-09-29,19,False
2019-10-06,26,False
2019-10-13,44,False
2019-10-20,38,False
2019-10-27,56,False
2019-11-03,24,False
2019-11-10,43,False
2019-11-17,37,False
2019-11-24,66,False
2019-12-01,43,False
2019-12-08,31,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,40,False
2020-01-05,35,False
2020-01-12,52,False
2020-01-19,53,False
2020-01-26,41,False
2020-02-02,46,False
2020-02-09,51,False
2020-02-16,35,False
2020-02-23,46,False
2020-03-01,34,False
2020-03-08,48,False
2020-03-15,26,False
2020-03-22,21,False
2020-03-29,16,False
2020-04-05,34,False
2020-04-12,100,False
2020-04-19,48,False
2020-04-26,47,False
2020-05-03,48,False
2020-05-10,37,False
