date,Asbestsanierung,isPartial
2018-01-07,97,False
2018-01-14,0,False
2018-01-21,49,False
2018-01-28,47,False
2018-02-04,75,False
2018-02-11,50,False
2018-02-18,49,False
2018-02-25,0,False
2018-03-04,49,False
2018-03-11,97,False
2018-03-18,49,False
2018-03-25,52,False
2018-04-01,52,False
2018-04-08,99,False
2018-04-15,50,False
2018-04-22,48,False
2018-04-29,50,False
2018-05-06,51,False
2018-05-13,0,False
2018-05-20,52,False
2018-05-27,73,False
2018-06-03,49,False
2018-06-10,47,False
2018-06-17,0,False
2018-06-24,49,False
2018-07-01,0,False
2018-07-08,47,False
2018-07-15,0,False
2018-07-22,51,False
2018-07-29,52,False
2018-08-05,0,False
2018-08-12,51,False
2018-08-19,51,False
2018-08-26,0,False
2018-09-02,49,False
2018-09-09,50,False
2018-09-16,49,False
2018-09-23,100,False
2018-09-30,50,False
2018-10-07,0,False
2018-10-14,84,False
2018-10-21,49,False
2018-10-28,49,False
2018-11-04,47,False
2018-11-11,96,False
2018-11-18,47,False
2018-11-25,47,False
2018-12-02,62,False
2018-12-09,63,False
2018-12-16,97,False
2018-12-23,83,False
2018-12-30,0,False
2019-01-06,46,False
2019-01-13,60,False
2019-01-20,45,False
2019-01-27,44,False
2019-02-03,45,False
2019-02-10,46,False
2019-02-17,46,False
2019-02-24,71,False
2019-03-03,46,False
2019-03-10,67,False
2019-03-17,70,False
2019-03-24,0,False
2019-03-31,69,False
2019-04-07,47,False
2019-04-14,51,False
2019-04-21,50,False
2019-04-28,47,False
2019-05-05,45,False
2019-05-12,71,False
2019-05-19,92,False
2019-05-26,48,False
2019-06-02,0,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,94,False
2019-06-30,93,False
2019-07-07,46,False
2019-07-14,49,False
2019-07-21,0,False
2019-07-28,51,False
2019-08-04,0,False
2019-08-11,98,False
2019-08-18,49,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,93,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,46,False
2019-10-06,45,False
2019-10-13,46,False
2019-10-20,69,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,44,False
2019-11-17,0,False
2019-11-24,42,False
2019-12-01,0,False
2019-12-08,43,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,42,False
2020-01-12,40,False
2020-01-19,62,False
2020-01-26,0,False
2020-02-02,40,False
2020-02-09,67,False
2020-02-16,62,False
2020-02-23,79,False
2020-03-01,0,False
2020-03-08,50,False
2020-03-15,37,False
2020-03-22,37,False
2020-03-29,0,False
2020-04-05,40,False
2020-04-12,0,False
2020-04-19,56,False
2020-04-26,37,False
2020-05-03,38,False
2020-05-10,38,False
