date,professeur maths,isPartial
2018-01-07,21,False
2018-01-14,75,False
2018-01-21,43,False
2018-01-28,43,False
2018-02-04,21,False
2018-02-11,22,False
2018-02-18,23,False
2018-02-25,0,False
2018-03-04,22,False
2018-03-11,73,False
2018-03-18,45,False
2018-03-25,22,False
2018-04-01,23,False
2018-04-08,29,False
2018-04-15,35,False
2018-04-22,46,False
2018-04-29,34,False
2018-05-06,36,False
2018-05-13,44,False
2018-05-20,0,False
2018-05-27,21,False
2018-06-03,21,False
2018-06-10,21,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,42,False
2018-07-08,22,False
2018-07-15,24,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,27,False
2018-08-12,28,False
2018-08-19,26,False
2018-08-26,35,False
2018-09-02,100,False
2018-09-09,54,False
2018-09-16,32,False
2018-09-23,21,False
2018-09-30,43,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,42,False
2018-10-28,23,False
2018-11-04,50,False
2018-11-11,51,False
2018-11-18,21,False
2018-11-25,29,False
2018-12-02,21,False
2018-12-09,22,False
2018-12-16,22,False
2018-12-23,27,False
2018-12-30,50,False
2019-01-06,36,False
2019-01-13,43,False
2019-01-20,28,False
2019-01-27,21,False
2019-02-03,30,False
2019-02-10,21,False
2019-02-17,57,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,22,False
2019-03-17,22,False
2019-03-24,30,False
2019-03-31,33,False
2019-04-07,30,False
2019-04-14,58,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,32,False
2019-05-12,31,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,21,False
2019-06-09,0,False
2019-06-16,23,False
2019-06-23,23,False
2019-06-30,23,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,53,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,31,False
2019-08-18,0,False
2019-08-25,42,False
2019-09-01,53,False
2019-09-08,22,False
2019-09-15,44,False
2019-09-22,43,False
2019-09-29,63,False
2019-10-06,44,False
2019-10-13,33,False
2019-10-20,22,False
2019-10-27,34,False
2019-11-03,21,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,32,False
2019-12-01,41,False
2019-12-08,21,False
2019-12-15,65,False
2019-12-22,78,False
2019-12-29,37,False
2020-01-05,49,False
2020-01-12,35,False
2020-01-19,22,False
2020-01-26,42,False
2020-02-02,42,False
2020-02-09,21,False
2020-02-16,36,False
2020-02-23,41,False
2020-03-01,30,False
2020-03-08,0,False
2020-03-15,32,False
2020-03-22,22,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,54,False
2020-04-19,21,False
2020-04-26,21,False
2020-05-03,20,False
2020-05-10,21,False
2020-05-17,49,True
