date,Photovoltaik,isPartial
2018-01-07,32,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,33,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,64,False
2018-03-04,63,False
2018-03-11,31,False
2018-03-18,0,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,59,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,44,False
2018-08-12,61,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,0,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,31,False
2018-10-14,0,False
2018-10-21,29,False
2018-10-28,30,False
2018-11-04,0,False
2018-11-11,60,False
2018-11-18,27,False
2018-11-25,29,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,54,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,54,False
2019-03-10,0,False
2019-03-17,41,False
2019-03-24,0,False
2019-03-31,28,False
2019-04-07,27,False
2019-04-14,29,False
2019-04-21,42,False
2019-04-28,26,False
2019-05-05,26,False
2019-05-12,50,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,54,False
2019-06-09,52,False
2019-06-16,26,False
2019-06-23,0,False
2019-06-30,27,False
2019-07-07,0,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,26,False
2019-08-04,27,False
2019-08-11,51,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,0,False
2019-09-08,26,False
2019-09-15,39,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,38,False
2019-10-13,26,False
2019-10-20,25,False
2019-10-27,50,False
2019-11-03,24,False
2019-11-10,74,False
2019-11-17,0,False
2019-11-24,49,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,25,False
2019-12-22,26,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,44,False
2020-01-19,0,False
2020-01-26,33,False
2020-02-02,67,False
2020-02-09,25,False
2020-02-16,0,False
2020-02-23,44,False
2020-03-01,44,False
2020-03-08,21,False
2020-03-15,19,False
2020-03-22,18,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,28,False
2020-05-03,20,False
2020-05-10,29,False
2020-05-17,21,False
2020-05-24,39,False
2020-05-31,38,False
2020-06-07,20,False
2020-06-14,39,False
2020-06-21,42,False
2020-06-28,32,False
2020-07-05,33,False
