date,cours guitare débutant,isPartial
2018-01-07,20,False
2018-01-14,27,False
2018-01-21,40,False
2018-01-28,27,False
2018-02-04,40,False
2018-02-11,20,False
2018-02-18,21,False
2018-02-25,41,False
2018-03-04,21,False
2018-03-11,41,False
2018-03-18,34,False
2018-03-25,83,False
2018-04-01,35,False
2018-04-08,0,False
2018-04-15,22,False
2018-04-22,35,False
2018-04-29,21,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,21,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,59,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,27,False
2018-07-08,21,False
2018-07-15,0,False
2018-07-22,22,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,35,False
2018-08-19,0,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,42,False
2018-09-16,21,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,53,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,34,False
2018-11-18,20,False
2018-11-25,40,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,34,False
2019-01-06,20,False
2019-01-13,20,False
2019-01-20,79,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,0,False
2019-02-17,42,False
2019-02-24,21,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,42,False
2019-03-24,21,False
2019-03-31,21,False
2019-04-07,21,False
2019-04-14,0,False
2019-04-21,21,False
2019-04-28,0,False
2019-05-05,20,False
2019-05-12,40,False
2019-05-19,20,False
2019-05-26,41,False
2019-06-02,19,False
2019-06-09,29,False
2019-06-16,20,False
2019-06-23,27,False
2019-06-30,51,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,22,False
2019-08-11,33,False
2019-08-18,33,False
2019-08-25,40,False
2019-09-01,52,False
2019-09-08,39,False
2019-09-15,26,False
2019-09-22,19,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,19,False
2019-10-20,29,False
2019-10-27,19,False
2019-11-03,55,False
2019-11-10,19,False
2019-11-17,28,False
2019-11-24,24,False
2019-12-01,36,False
2019-12-08,18,False
2019-12-15,18,False
2019-12-22,31,False
2019-12-29,20,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,0,False
2020-01-26,18,False
2020-02-02,18,False
2020-02-09,18,False
2020-02-16,18,False
2020-02-23,34,False
2020-03-01,17,False
2020-03-08,42,False
2020-03-15,27,False
2020-03-22,69,False
2020-03-29,100,False
2020-04-05,37,False
2020-04-12,27,False
2020-04-19,47,False
2020-04-26,20,False
2020-05-03,23,False
2020-05-10,16,False
2020-05-17,30,True
