date,Heizung einstellen,isPartial
2018-01-07,70,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,60,False
2018-02-04,31,False
2018-02-11,30,False
2018-02-18,31,False
2018-02-25,59,False
2018-03-04,60,False
2018-03-11,30,False
2018-03-18,31,False
2018-03-25,31,False
2018-04-01,31,False
2018-04-08,46,False
2018-04-15,0,False
2018-04-22,60,False
2018-04-29,0,False
2018-05-06,32,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,30,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,29,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,30,False
2018-09-09,0,False
2018-09-16,30,False
2018-09-23,100,False
2018-09-30,62,False
2018-10-07,31,False
2018-10-14,49,False
2018-10-21,77,False
2018-10-28,44,False
2018-11-04,48,False
2018-11-11,59,False
2018-11-18,48,False
2018-11-25,49,False
2018-12-02,48,False
2018-12-09,59,False
2018-12-16,70,False
2018-12-23,33,False
2018-12-30,31,False
2019-01-06,41,False
2019-01-13,27,False
2019-01-20,28,False
2019-01-27,56,False
2019-02-03,65,False
2019-02-10,43,False
2019-02-17,29,False
2019-02-24,30,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,43,False
2019-03-24,29,False
2019-03-31,87,False
2019-04-07,30,False
2019-04-14,32,False
2019-04-21,0,False
2019-04-28,56,False
2019-05-05,42,False
2019-05-12,29,False
2019-05-19,56,False
2019-05-26,57,False
2019-06-02,28,False
2019-06-09,0,False
2019-06-16,28,False
2019-06-23,0,False
2019-06-30,28,False
2019-07-07,0,False
2019-07-14,30,False
2019-07-21,32,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,26,False
2019-08-18,28,False
2019-08-25,0,False
2019-09-01,27,False
2019-09-08,68,False
2019-09-15,37,False
2019-09-22,54,False
2019-09-29,55,False
2019-10-06,55,False
2019-10-13,41,False
2019-10-20,27,False
2019-10-27,71,False
2019-11-03,26,False
2019-11-10,52,False
2019-11-17,66,False
2019-11-24,38,False
2019-12-01,39,False
2019-12-08,43,False
2019-12-15,53,False
2019-12-22,29,False
2019-12-29,54,False
2020-01-05,25,False
2020-01-12,0,False
2020-01-19,25,False
2020-01-26,74,False
2020-02-02,50,False
2020-02-09,36,False
2020-02-16,50,False
2020-02-23,25,False
2020-03-01,25,False
2020-03-08,34,False
2020-03-15,34,False
2020-03-22,46,False
2020-03-29,23,False
2020-04-05,75,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,45,False
2020-05-03,0,False
2020-05-10,23,False
