date,Heizung einstellen,isPartial
2018-01-07,24,False
2018-01-14,16,False
2018-01-21,16,False
2018-01-28,32,False
2018-02-04,50,False
2018-02-11,58,False
2018-02-18,38,False
2018-02-25,59,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,24,False
2018-03-25,17,False
2018-04-01,23,False
2018-04-08,25,False
2018-04-15,0,False
2018-04-22,16,False
2018-04-29,0,False
2018-05-06,17,False
2018-05-13,32,False
2018-05-20,34,False
2018-05-27,0,False
2018-06-03,16,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,16,False
2018-07-01,16,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,17,False
2018-07-29,17,False
2018-08-05,17,False
2018-08-12,17,False
2018-08-19,17,False
2018-08-26,17,False
2018-09-02,16,False
2018-09-09,17,False
2018-09-16,16,False
2018-09-23,61,False
2018-09-30,100,False
2018-10-07,41,False
2018-10-14,17,False
2018-10-21,56,False
2018-10-28,87,False
2018-11-04,52,False
2018-11-11,37,False
2018-11-18,36,False
2018-11-25,26,False
2018-12-02,23,False
2018-12-09,21,False
2018-12-16,38,False
2018-12-23,80,False
2018-12-30,34,False
2019-01-06,25,False
2019-01-13,30,False
2019-01-20,55,False
2019-01-27,30,False
2019-02-03,53,False
2019-02-10,51,False
2019-02-17,23,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,15,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,15,False
2019-04-07,39,False
2019-04-14,17,False
2019-04-21,17,False
2019-04-28,16,False
2019-05-05,30,False
2019-05-12,16,False
2019-05-19,15,False
2019-05-26,16,False
2019-06-02,0,False
2019-06-09,24,False
2019-06-16,24,False
2019-06-23,0,False
2019-06-30,15,False
2019-07-07,15,False
2019-07-14,16,False
2019-07-21,17,False
2019-07-28,17,False
2019-08-04,17,False
2019-08-11,16,False
2019-08-18,16,False
2019-08-25,0,False
2019-09-01,23,False
2019-09-08,31,False
2019-09-15,47,False
2019-09-22,38,False
2019-09-29,67,False
2019-10-06,55,False
2019-10-13,15,False
2019-10-20,36,False
2019-10-27,60,False
2019-11-03,14,False
2019-11-10,63,False
2019-11-17,66,False
2019-11-24,0,False
2019-12-01,36,False
2019-12-08,36,False
2019-12-15,43,False
2019-12-22,17,False
2019-12-29,47,False
2020-01-05,48,False
2020-01-12,27,False
2020-01-19,69,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,26,False
2020-02-16,41,False
2020-02-23,13,False
2020-03-01,31,False
2020-03-08,25,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,29,False
2020-04-05,14,False
2020-04-12,19,False
2020-04-19,13,False
2020-04-26,61,False
2020-05-03,21,False
2020-05-10,51,False
