date,Heizung einstellen,isPartial
2018-01-07,56,False
2018-01-14,35,False
2018-01-21,39,False
2018-01-28,18,False
2018-02-04,38,False
2018-02-11,42,False
2018-02-18,41,False
2018-02-25,47,False
2018-03-04,32,False
2018-03-11,24,False
2018-03-18,11,False
2018-03-25,28,False
2018-04-01,24,False
2018-04-08,21,False
2018-04-15,10,False
2018-04-22,13,False
2018-04-29,12,False
2018-05-06,18,False
2018-05-13,11,False
2018-05-20,6,False
2018-05-27,10,False
2018-06-03,9,False
2018-06-10,16,False
2018-06-17,6,False
2018-06-24,9,False
2018-07-01,8,False
2018-07-08,8,False
2018-07-15,6,False
2018-07-22,8,False
2018-07-29,9,False
2018-08-05,6,False
2018-08-12,10,False
2018-08-19,9,False
2018-08-26,10,False
2018-09-02,17,False
2018-09-09,25,False
2018-09-16,14,False
2018-09-23,85,False
2018-09-30,93,False
2018-10-07,26,False
2018-10-14,34,False
2018-10-21,74,False
2018-10-28,88,False
2018-11-04,50,False
2018-11-11,35,False
2018-11-18,91,False
2018-11-25,66,False
2018-12-02,69,False
2018-12-09,40,False
2018-12-16,54,False
2018-12-23,58,False
2018-12-30,53,False
2019-01-06,37,False
2019-01-13,41,False
2019-01-20,61,False
2019-01-27,46,False
2019-02-03,39,False
2019-02-10,28,False
2019-02-17,23,False
2019-02-24,27,False
2019-03-03,5,False
2019-03-10,26,False
2019-03-17,14,False
2019-03-24,22,False
2019-03-31,16,False
2019-04-07,23,False
2019-04-14,20,False
2019-04-21,15,False
2019-04-28,19,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,18,False
2019-05-26,5,False
2019-06-02,12,False
2019-06-09,8,False
2019-06-16,13,False
2019-06-23,8,False
2019-06-30,11,False
2019-07-07,7,False
2019-07-14,15,False
2019-07-21,12,False
2019-07-28,9,False
2019-08-04,6,False
2019-08-11,20,False
2019-08-18,15,False
2019-08-25,16,False
2019-09-01,19,False
2019-09-08,45,False
2019-09-15,48,False
2019-09-22,59,False
2019-09-29,84,False
2019-10-06,80,False
2019-10-13,38,False
2019-10-20,41,False
2019-10-27,100,False
2019-11-03,47,False
2019-11-10,81,False
2019-11-17,74,False
2019-11-24,44,False
2019-12-01,57,False
2019-12-08,45,False
2019-12-15,36,False
2019-12-22,54,False
2019-12-29,43,False
2020-01-05,48,False
2020-01-12,29,False
2020-01-19,57,False
2020-01-26,35,False
2020-02-02,25,False
2020-02-09,39,False
2020-02-16,21,False
2020-02-23,11,False
2020-03-01,26,False
2020-03-08,35,False
2020-03-15,23,False
2020-03-22,13,False
2020-03-29,27,False
2020-04-05,22,False
2020-04-12,21,False
2020-04-19,16,False
2020-04-26,27,False
2020-05-03,20,False
2020-05-10,26,False
