date,Partylocation,isPartial
2018-01-07,53,False
2018-01-14,39,False
2018-01-21,20,False
2018-01-28,39,False
2018-02-04,27,False
2018-02-11,30,False
2018-02-18,40,False
2018-02-25,26,False
2018-03-04,40,False
2018-03-11,20,False
2018-03-18,40,False
2018-03-25,35,False
2018-04-01,42,False
2018-04-08,40,False
2018-04-15,20,False
2018-04-22,32,False
2018-04-29,20,False
2018-05-06,31,False
2018-05-13,39,False
2018-05-20,49,False
2018-05-27,40,False
2018-06-03,0,False
2018-06-10,44,False
2018-06-17,32,False
2018-06-24,0,False
2018-07-01,68,False
2018-07-08,19,False
2018-07-15,0,False
2018-07-22,62,False
2018-07-29,32,False
2018-08-05,28,False
2018-08-12,42,False
2018-08-19,20,False
2018-08-26,20,False
2018-09-02,30,False
2018-09-09,40,False
2018-09-16,20,False
2018-09-23,41,False
2018-09-30,31,False
2018-10-07,20,False
2018-10-14,82,False
2018-10-21,54,False
2018-10-28,40,False
2018-11-04,38,False
2018-11-11,19,False
2018-11-18,19,False
2018-11-25,19,False
2018-12-02,57,False
2018-12-09,19,False
2018-12-16,30,False
2018-12-23,33,False
2018-12-30,41,False
2019-01-06,56,False
2019-01-13,30,False
2019-01-20,45,False
2019-01-27,27,False
2019-02-03,27,False
2019-02-10,37,False
2019-02-17,31,False
2019-02-24,39,False
2019-03-03,75,False
2019-03-10,81,False
2019-03-17,38,False
2019-03-24,32,False
2019-03-31,19,False
2019-04-07,38,False
2019-04-14,35,False
2019-04-21,20,False
2019-04-28,38,False
2019-05-05,19,False
2019-05-12,50,False
2019-05-19,37,False
2019-05-26,58,False
2019-06-02,28,False
2019-06-09,32,False
2019-06-16,39,False
2019-06-23,19,False
2019-06-30,47,False
2019-07-07,62,False
2019-07-14,30,False
2019-07-21,21,False
2019-07-28,31,False
2019-08-04,21,False
2019-08-11,100,False
2019-08-18,33,False
2019-08-25,38,False
2019-09-01,19,False
2019-09-08,47,False
2019-09-15,38,False
2019-09-22,19,False
2019-09-29,0,False
2019-10-06,27,False
2019-10-13,31,False
2019-10-20,47,False
2019-10-27,30,False
2019-11-03,35,False
2019-11-10,23,False
2019-11-17,35,False
2019-11-24,34,False
2019-12-01,17,False
2019-12-08,35,False
2019-12-15,26,False
2019-12-22,27,False
2019-12-29,19,False
2020-01-05,42,False
2020-01-12,33,False
2020-01-19,39,False
2020-01-26,28,False
2020-02-02,33,False
2020-02-09,32,False
2020-02-16,22,False
2020-02-23,24,False
2020-03-01,32,False
2020-03-08,15,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,15,False
2020-04-05,17,False
2020-04-12,16,False
2020-04-19,15,False
2020-04-26,0,False
2020-05-03,15,False
2020-05-10,0,False
2020-05-17,36,True
