date,psychologue enfants,isPartial
2018-01-07,47,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,47,False
2018-02-04,35,False
2018-02-11,24,False
2018-02-18,33,False
2018-02-25,25,False
2018-03-04,32,False
2018-03-11,24,False
2018-03-18,32,False
2018-03-25,41,False
2018-04-01,0,False
2018-04-08,40,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,41,False
2018-05-06,26,False
2018-05-13,71,False
2018-05-20,24,False
2018-05-27,35,False
2018-06-03,23,False
2018-06-10,23,False
2018-06-17,23,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,28,False
2018-08-05,0,False
2018-08-12,31,False
2018-08-19,0,False
2018-08-26,26,False
2018-09-02,48,False
2018-09-09,70,False
2018-09-16,54,False
2018-09-23,47,False
2018-09-30,23,False
2018-10-07,23,False
2018-10-14,52,False
2018-10-21,23,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,22,False
2018-11-18,23,False
2018-11-25,59,False
2018-12-02,31,False
2018-12-09,36,False
2018-12-16,49,False
2018-12-23,0,False
2018-12-30,54,False
2019-01-06,59,False
2019-01-13,55,False
2019-01-20,31,False
2019-01-27,30,False
2019-02-03,58,False
2019-02-10,46,False
2019-02-17,0,False
2019-02-24,40,False
2019-03-03,46,False
2019-03-10,24,False
2019-03-17,73,False
2019-03-24,38,False
2019-03-31,24,False
2019-04-07,41,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,40,False
2019-05-05,34,False
2019-05-12,100,False
2019-05-19,25,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,51,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,63,False
2019-08-11,33,False
2019-08-18,47,False
2019-08-25,82,False
2019-09-01,25,False
2019-09-08,24,False
2019-09-15,48,False
2019-09-22,23,False
2019-09-29,58,False
2019-10-06,36,False
2019-10-13,60,False
2019-10-20,24,False
2019-10-27,62,False
2019-11-03,23,False
2019-11-10,48,False
2019-11-17,31,False
2019-11-24,35,False
2019-12-01,30,False
2019-12-08,45,False
2019-12-15,47,False
2019-12-22,28,False
2019-12-29,79,False
2020-01-05,67,False
2020-01-12,45,False
2020-01-19,23,False
2020-01-26,53,False
2020-02-02,58,False
2020-02-09,23,False
2020-02-16,24,False
2020-02-23,44,False
2020-03-01,33,False
2020-03-08,44,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,23,False
2020-04-12,24,False
2020-04-19,30,False
2020-04-26,23,False
2020-05-03,32,False
2020-05-10,45,False
2020-05-17,54,True
