date,Elektroplaner,isPartial
2018-01-07,20,False
2018-01-14,100,False
2018-01-21,30,False
2018-01-28,31,False
2018-02-04,20,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,71,False
2018-03-04,30,False
2018-03-11,40,False
2018-03-18,41,False
2018-03-25,21,False
2018-04-01,23,False
2018-04-08,0,False
2018-04-15,87,False
2018-04-22,21,False
2018-04-29,21,False
2018-05-06,66,False
2018-05-13,41,False
2018-05-20,32,False
2018-05-27,21,False
2018-06-03,21,False
2018-06-10,41,False
2018-06-17,0,False
2018-06-24,42,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,46,False
2018-07-22,24,False
2018-07-29,25,False
2018-08-05,45,False
2018-08-12,21,False
2018-08-19,32,False
2018-08-26,21,False
2018-09-02,32,False
2018-09-09,21,False
2018-09-16,0,False
2018-09-23,53,False
2018-09-30,22,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,21,False
2018-10-28,60,False
2018-11-04,40,False
2018-11-11,21,False
2018-11-18,20,False
2018-11-25,30,False
2018-12-02,20,False
2018-12-09,62,False
2018-12-16,53,False
2018-12-23,26,False
2018-12-30,23,False
2019-01-06,20,False
2019-01-13,59,False
2019-01-20,29,False
2019-01-27,39,False
2019-02-03,40,False
2019-02-10,20,False
2019-02-17,20,False
2019-02-24,30,False
2019-03-03,19,False
2019-03-10,20,False
2019-03-17,0,False
2019-03-24,20,False
2019-03-31,20,False
2019-04-07,38,False
2019-04-14,22,False
2019-04-21,22,False
2019-04-28,39,False
2019-05-05,19,False
2019-05-12,20,False
2019-05-19,39,False
2019-05-26,21,False
2019-06-02,30,False
2019-06-09,60,False
2019-06-16,60,False
2019-06-23,22,False
2019-06-30,42,False
2019-07-07,63,False
2019-07-14,23,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,23,False
2019-08-11,41,False
2019-08-18,20,False
2019-08-25,61,False
2019-09-01,19,False
2019-09-08,50,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,59,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,19,False
2019-10-27,0,False
2019-11-03,19,False
2019-11-10,47,False
2019-11-17,19,False
2019-11-24,37,False
2019-12-01,0,False
2019-12-08,47,False
2019-12-15,19,False
2019-12-22,46,False
2019-12-29,0,False
2020-01-05,18,False
2020-01-12,27,False
2020-01-19,36,False
2020-01-26,36,False
2020-02-02,27,False
2020-02-09,55,False
2020-02-16,0,False
2020-02-23,17,False
2020-03-01,18,False
2020-03-08,17,False
2020-03-15,17,False
2020-03-22,16,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,35,False
2020-04-19,25,False
2020-04-26,16,False
2020-05-03,17,False
2020-05-10,17,False
2020-05-17,36,False
2020-05-24,17,False
2020-05-31,17,False
2020-06-07,16,False
2020-06-14,34,False
2020-06-21,0,False
2020-06-28,18,False
2020-07-05,28,False
