date,video matrimonio,isPartial
2018-01-07,22,False
2018-01-14,0,False
2018-01-21,41,False
2018-01-28,31,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,21,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,32,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,35,False
2018-04-08,0,False
2018-04-15,34,False
2018-04-22,23,False
2018-04-29,0,False
2018-05-06,22,False
2018-05-13,66,False
2018-05-20,100,False
2018-05-27,44,False
2018-06-03,44,False
2018-06-10,32,False
2018-06-17,23,False
2018-06-24,25,False
2018-07-01,48,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,76,False
2018-07-29,26,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,90,False
2018-08-26,51,False
2018-09-02,36,False
2018-09-09,24,False
2018-09-16,46,False
2018-09-23,24,False
2018-09-30,59,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,23,False
2018-10-28,23,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,32,False
2018-11-25,43,False
2018-12-02,33,False
2018-12-09,22,False
2018-12-16,24,False
2018-12-23,27,False
2018-12-30,24,False
2019-01-06,22,False
2019-01-13,22,False
2019-01-20,20,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,20,False
2019-02-17,21,False
2019-02-24,0,False
2019-03-03,87,False
2019-03-10,0,False
2019-03-17,43,False
2019-03-24,54,False
2019-03-31,42,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,0,False
2019-04-28,22,False
2019-05-05,43,False
2019-05-12,21,False
2019-05-19,0,False
2019-05-26,40,False
2019-06-02,21,False
2019-06-09,20,False
2019-06-16,32,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,54,False
2019-07-14,33,False
2019-07-21,0,False
2019-07-28,48,False
2019-08-04,25,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,33,False
2019-09-01,50,False
2019-09-08,21,False
2019-09-15,39,False
2019-09-22,41,False
2019-09-29,41,False
2019-10-06,21,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,20,False
2019-11-03,39,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,37,False
2019-12-01,20,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,43,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,18,False
2020-01-26,18,False
2020-02-02,26,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,34,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,16,False
2020-04-05,17,False
2020-04-12,17,False
2020-04-19,16,False
2020-04-26,27,True
