date,Video matrimonio,isPartial
2018-01-07,22,False
2018-01-14,16,False
2018-01-21,15,False
2018-01-28,22,False
2018-02-04,19,False
2018-02-11,16,False
2018-02-18,13,False
2018-02-25,21,False
2018-03-04,14,False
2018-03-11,14,False
2018-03-18,17,False
2018-03-25,25,False
2018-04-01,22,False
2018-04-08,19,False
2018-04-15,51,False
2018-04-22,24,False
2018-04-29,27,False
2018-05-06,24,False
2018-05-13,89,False
2018-05-20,100,False
2018-05-27,42,False
2018-06-03,35,False
2018-06-10,31,False
2018-06-17,31,False
2018-06-24,34,False
2018-07-01,24,False
2018-07-08,21,False
2018-07-15,21,False
2018-07-22,30,False
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,27,False
2018-08-19,34,False
2018-08-26,62,False
2018-09-02,65,False
2018-09-09,25,False
2018-09-16,35,False
2018-09-23,32,False
2018-09-30,19,False
2018-10-07,38,False
2018-10-14,25,False
2018-10-21,18,False
2018-10-28,18,False
2018-11-04,13,False
2018-11-11,18,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,12,False
2018-12-09,12,False
2018-12-16,13,False
2018-12-23,29,False
2018-12-30,19,False
2019-01-06,17,False
2019-01-13,31,False
2019-01-20,22,False
2019-01-27,17,False
2019-02-03,16,False
2019-02-10,19,False
2019-02-17,17,False
2019-02-24,12,False
2019-03-03,19,False
2019-03-10,14,False
2019-03-17,21,False
2019-03-24,88,False
2019-03-31,47,False
2019-04-07,16,False
2019-04-14,21,False
2019-04-21,20,False
2019-04-28,20,False
2019-05-05,17,False
2019-05-12,22,False
2019-05-19,24,False
2019-05-26,29,False
2019-06-02,26,False
2019-06-09,30,False
2019-06-16,20,False
2019-06-23,21,False
2019-06-30,26,False
2019-07-07,25,False
2019-07-14,28,False
2019-07-21,20,False
2019-07-28,27,False
2019-08-04,26,False
2019-08-11,18,False
2019-08-18,31,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,27,False
2019-09-15,32,False
2019-09-22,40,False
2019-09-29,35,False
2019-10-06,17,False
2019-10-13,18,False
2019-10-20,20,False
2019-10-27,13,False
2019-11-03,17,False
2019-11-10,14,False
2019-11-17,13,False
2019-11-24,19,False
2019-12-01,16,False
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,14,False
2019-12-29,53,False
2020-01-05,15,False
2020-01-12,23,False
2020-01-19,18,False
2020-01-26,20,False
2020-02-02,12,False
2020-02-09,17,False
2020-02-16,13,False
2020-02-23,12,False
2020-03-01,15,False
2020-03-08,21,False
2020-03-15,8,False
2020-03-22,9,False
2020-03-29,15,False
2020-04-05,13,False
2020-04-12,16,False
2020-04-19,18,False
2020-04-26,22,True
