date,Dégorgement,isPartial
2018-01-07,81,False
2018-01-14,30,False
2018-01-21,47,False
2018-01-28,20,False
2018-02-04,61,False
2018-02-11,41,False
2018-02-18,21,False
2018-02-25,20,False
2018-03-04,31,False
2018-03-11,0,False
2018-03-18,31,False
2018-03-25,42,False
2018-04-01,42,False
2018-04-08,52,False
2018-04-15,22,False
2018-04-22,21,False
2018-04-29,32,False
2018-05-06,0,False
2018-05-13,41,False
2018-05-20,32,False
2018-05-27,61,False
2018-06-03,41,False
2018-06-10,20,False
2018-06-17,35,False
2018-06-24,41,False
2018-07-01,0,False
2018-07-08,21,False
2018-07-15,44,False
2018-07-22,33,False
2018-07-29,0,False
2018-08-05,23,False
2018-08-12,0,False
2018-08-19,23,False
2018-08-26,32,False
2018-09-02,42,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,21,False
2018-09-30,42,False
2018-10-07,32,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,21,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,27,False
2018-12-02,21,False
2018-12-09,42,False
2018-12-16,32,False
2018-12-23,36,False
2018-12-30,45,False
2019-01-06,27,False
2019-01-13,62,False
2019-01-20,40,False
2019-01-27,40,False
2019-02-03,40,False
2019-02-10,42,False
2019-02-17,21,False
2019-02-24,31,False
2019-03-03,30,False
2019-03-10,20,False
2019-03-17,31,False
2019-03-24,32,False
2019-03-31,20,False
2019-04-07,42,False
2019-04-14,21,False
2019-04-21,56,False
2019-04-28,20,False
2019-05-05,40,False
2019-05-12,41,False
2019-05-19,100,False
2019-05-26,48,False
2019-06-02,29,False
2019-06-09,0,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,34,False
2019-07-07,20,False
2019-07-14,41,False
2019-07-21,43,False
2019-07-28,0,False
2019-08-04,33,False
2019-08-11,43,False
2019-08-18,54,False
2019-08-25,41,False
2019-09-01,30,False
2019-09-08,58,False
2019-09-15,39,False
2019-09-22,19,False
2019-09-29,0,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,26,False
2019-10-27,0,False
2019-11-03,49,False
2019-11-10,19,False
2019-11-17,18,False
2019-11-24,36,False
2019-12-01,18,False
2019-12-08,27,False
2019-12-15,28,False
2019-12-22,42,False
2019-12-29,46,False
2020-01-05,36,False
2020-01-12,35,False
2020-01-19,30,False
2020-01-26,18,False
2020-02-02,36,False
2020-02-09,62,False
2020-02-16,45,False
2020-02-23,17,False
2020-03-01,40,False
2020-03-08,68,False
2020-03-15,24,False
2020-03-22,24,False
2020-03-29,16,False
2020-04-05,37,False
2020-04-12,33,False
2020-04-19,32,False
2020-04-26,30,False
2020-05-03,15,False
2020-05-10,48,False
2020-05-17,0,True
