date,Renovierungsarbeiten,isPartial
2018-01-07,50,False
2018-01-14,25,False
2018-01-21,0,False
2018-01-28,50,False
2018-02-04,52,False
2018-02-11,26,False
2018-02-18,34,False
2018-02-25,25,False
2018-03-04,42,False
2018-03-11,51,False
2018-03-18,25,False
2018-03-25,40,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,44,False
2018-05-13,50,False
2018-05-20,27,False
2018-05-27,38,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,24,False
2018-06-24,25,False
2018-07-01,100,False
2018-07-08,24,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,40,False
2018-08-05,27,False
2018-08-12,27,False
2018-08-19,26,False
2018-08-26,52,False
2018-09-02,51,False
2018-09-09,26,False
2018-09-16,64,False
2018-09-23,39,False
2018-09-30,34,False
2018-10-07,26,False
2018-10-14,35,False
2018-10-21,39,False
2018-10-28,25,False
2018-11-04,41,False
2018-11-11,25,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,33,False
2018-12-23,43,False
2018-12-30,35,False
2019-01-06,24,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,38,False
2019-02-03,23,False
2019-02-10,36,False
2019-02-17,24,False
2019-02-24,33,False
2019-03-03,0,False
2019-03-10,46,False
2019-03-17,0,False
2019-03-24,36,False
2019-03-31,48,False
2019-04-07,25,False
2019-04-14,61,False
2019-04-21,0,False
2019-04-28,37,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,41,False
2019-06-02,36,False
2019-06-09,25,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,60,False
2019-07-07,24,False
2019-07-14,75,False
2019-07-21,27,False
2019-07-28,35,False
2019-08-04,26,False
2019-08-11,51,False
2019-08-18,38,False
2019-08-25,24,False
2019-09-01,24,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,71,False
2019-09-29,24,False
2019-10-06,46,False
2019-10-13,23,False
2019-10-20,24,False
2019-10-27,39,False
2019-11-03,0,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,22,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,36,False
2020-01-05,29,False
2020-01-12,21,False
2020-01-19,32,False
2020-01-26,32,False
2020-02-02,21,False
2020-02-09,20,False
2020-02-16,43,False
2020-02-23,31,False
2020-03-01,21,False
2020-03-08,39,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,29,False
2020-04-05,28,False
2020-04-12,40,False
2020-04-19,39,False
2020-04-26,0,False
2020-05-03,39,False
2020-05-10,39,False
