date,Marmorplatte,isPartial
2018-01-07,61,False
2018-01-14,45,False
2018-01-21,45,False
2018-01-28,61,False
2018-02-04,47,False
2018-02-11,32,False
2018-02-18,32,False
2018-02-25,63,False
2018-03-04,32,False
2018-03-11,63,False
2018-03-18,43,False
2018-03-25,34,False
2018-04-01,35,False
2018-04-08,49,False
2018-04-15,33,False
2018-04-22,32,False
2018-04-29,49,False
2018-05-06,33,False
2018-05-13,63,False
2018-05-20,50,False
2018-05-27,56,False
2018-06-03,32,False
2018-06-10,30,False
2018-06-17,61,False
2018-06-24,45,False
2018-07-01,30,False
2018-07-08,59,False
2018-07-15,40,False
2018-07-22,51,False
2018-07-29,47,False
2018-08-05,32,False
2018-08-12,34,False
2018-08-19,68,False
2018-08-26,100,False
2018-09-02,49,False
2018-09-09,63,False
2018-09-16,48,False
2018-09-23,32,False
2018-09-30,32,False
2018-10-07,41,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,78,False
2018-11-04,60,False
2018-11-11,46,False
2018-11-18,49,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,60,False
2018-12-16,63,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,58,False
2019-01-13,28,False
2019-01-20,66,False
2019-01-27,57,False
2019-02-03,28,False
2019-02-10,58,False
2019-02-17,58,False
2019-02-24,59,False
2019-03-03,30,False
2019-03-10,58,False
2019-03-17,46,False
2019-03-24,46,False
2019-03-31,31,False
2019-04-07,0,False
2019-04-14,49,False
2019-04-21,0,False
2019-04-28,60,False
2019-05-05,58,False
2019-05-12,88,False
2019-05-19,39,False
2019-05-26,30,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,94,False
2019-06-23,31,False
2019-06-30,29,False
2019-07-07,56,False
2019-07-14,59,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,63,False
2019-08-11,32,False
2019-08-18,48,False
2019-08-25,42,False
2019-09-01,50,False
2019-09-08,39,False
2019-09-15,60,False
2019-09-22,43,False
2019-09-29,29,False
2019-10-06,28,False
2019-10-13,38,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,36,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,46,False
2019-12-01,42,False
2019-12-08,42,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,76,False
2020-01-05,27,False
2020-01-12,35,False
2020-01-19,40,False
2020-01-26,40,False
2020-02-02,44,False
2020-02-09,38,False
2020-02-16,54,False
2020-02-23,62,False
2020-03-01,52,False
2020-03-08,49,False
2020-03-15,39,False
2020-03-22,24,False
2020-03-29,24,False
2020-04-05,44,False
2020-04-12,75,False
2020-04-19,41,False
2020-04-26,36,False
2020-05-03,33,False
2020-05-10,33,False
