date,Brautkleid Designer,isPartial
2018-01-07,43,False
2018-01-14,86,False
2018-01-21,22,False
2018-01-28,0,False
2018-02-04,22,False
2018-02-11,45,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,22,False
2018-03-25,24,False
2018-04-01,24,False
2018-04-08,23,False
2018-04-15,47,False
2018-04-22,23,False
2018-04-29,23,False
2018-05-06,23,False
2018-05-13,100,False
2018-05-20,0,False
2018-05-27,23,False
2018-06-03,0,False
2018-06-10,22,False
2018-06-17,0,False
2018-06-24,23,False
2018-07-01,22,False
2018-07-08,22,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,47,False
2018-08-05,23,False
2018-08-12,47,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,23,False
2018-09-09,23,False
2018-09-16,34,False
2018-09-23,23,False
2018-09-30,22,False
2018-10-07,23,False
2018-10-14,34,False
2018-10-21,33,False
2018-10-28,44,False
2018-11-04,21,False
2018-11-11,22,False
2018-11-18,21,False
2018-11-25,0,False
2018-12-02,21,False
2018-12-09,22,False
2018-12-16,0,False
2018-12-23,25,False
2018-12-30,23,False
2019-01-06,0,False
2019-01-13,20,False
2019-01-20,0,False
2019-01-27,20,False
2019-02-03,41,False
2019-02-10,42,False
2019-02-17,21,False
2019-02-24,0,False
2019-03-03,21,False
2019-03-10,21,False
2019-03-17,22,False
2019-03-24,21,False
2019-03-31,0,False
2019-04-07,22,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,52,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,32,False
2019-06-02,21,False
2019-06-09,22,False
2019-06-16,0,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,23,False
2019-07-28,22,False
2019-08-04,67,False
2019-08-11,22,False
2019-08-18,44,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,21,False
2019-09-22,31,False
2019-09-29,41,False
2019-10-06,21,False
2019-10-13,0,False
2019-10-20,41,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,20,False
2019-11-17,39,False
2019-11-24,19,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,20,False
2019-12-22,23,False
2019-12-29,0,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,19,False
2020-01-26,0,False
2020-02-02,38,False
2020-02-09,37,False
2020-02-16,19,False
2020-02-23,0,False
2020-03-01,18,False
2020-03-08,0,False
2020-03-15,51,False
2020-03-22,17,False
2020-03-29,0,False
2020-04-05,28,False
2020-04-12,67,True
