date,servizio di catering,isPartial
2018-01-07,35,False
2018-01-14,0,False
2018-01-21,34,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,34,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,33,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,69,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,34,False
2018-05-20,34,False
2018-05-27,69,False
2018-06-03,68,False
2018-06-10,65,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,52,False
2018-07-22,69,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,37,False
2018-08-26,35,False
2018-09-02,33,False
2018-09-09,50,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,68,False
2018-10-14,0,False
2018-10-21,34,False
2018-10-28,33,False
2018-11-04,32,False
2018-11-11,0,False
2018-11-18,33,False
2018-11-25,34,False
2018-12-02,0,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,40,False
2018-12-30,37,False
2019-01-06,34,False
2019-01-13,33,False
2019-01-20,32,False
2019-01-27,31,False
2019-02-03,32,False
2019-02-10,32,False
2019-02-17,66,False
2019-02-24,33,False
2019-03-03,68,False
2019-03-10,33,False
2019-03-17,34,False
2019-03-24,0,False
2019-03-31,33,False
2019-04-07,33,False
2019-04-14,35,False
2019-04-21,36,False
2019-04-28,100,False
2019-05-05,32,False
2019-05-12,32,False
2019-05-19,0,False
2019-05-26,31,False
2019-06-02,0,False
2019-06-09,67,False
2019-06-16,0,False
2019-06-23,34,False
2019-06-30,68,False
2019-07-07,49,False
2019-07-14,34,False
2019-07-21,34,False
2019-07-28,0,False
2019-08-04,72,False
2019-08-11,38,False
2019-08-18,0,False
2019-08-25,32,False
2019-09-01,30,False
2019-09-08,32,False
2019-09-15,31,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,32,False
2019-10-13,31,False
2019-10-20,0,False
2019-10-27,31,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,60,False
2019-11-24,0,False
2019-12-01,47,False
2019-12-08,31,False
2019-12-15,32,False
2019-12-22,73,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,57,False
2020-01-19,44,False
2020-01-26,0,False
2020-02-02,29,False
2020-02-09,59,False
2020-02-16,29,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,26,False
2020-03-22,25,False
2020-03-29,25,False
2020-04-05,0,False
2020-04-12,53,False
2020-04-19,0,False
2020-04-26,0,True
