date,matrimonio in giardino,isPartial
2018-01-07,57,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,0,False
2018-02-04,27,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,53,False
2018-03-04,27,False
2018-03-11,55,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,30,False
2018-04-08,28,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,0,False
2018-05-06,55,False
2018-05-13,28,False
2018-05-20,56,False
2018-05-27,71,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,28,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,42,False
2018-07-15,43,False
2018-07-22,28,False
2018-07-29,29,False
2018-08-05,0,False
2018-08-12,47,False
2018-08-19,31,False
2018-08-26,57,False
2018-09-02,27,False
2018-09-09,0,False
2018-09-16,27,False
2018-09-23,41,False
2018-09-30,27,False
2018-10-07,28,False
2018-10-14,56,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,28,False
2019-01-13,27,False
2019-01-20,79,False
2019-01-27,0,False
2019-02-03,26,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,0,False
2019-03-03,28,False
2019-03-10,27,False
2019-03-17,28,False
2019-03-24,84,False
2019-03-31,83,False
2019-04-07,54,False
2019-04-14,28,False
2019-04-21,0,False
2019-04-28,28,False
2019-05-05,0,False
2019-05-12,27,False
2019-05-19,27,False
2019-05-26,26,False
2019-06-02,0,False
2019-06-09,54,False
2019-06-16,27,False
2019-06-23,71,False
2019-06-30,42,False
2019-07-07,27,False
2019-07-14,56,False
2019-07-21,29,False
2019-07-28,29,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,29,False
2019-08-25,27,False
2019-09-01,100,False
2019-09-08,53,False
2019-09-15,26,False
2019-09-22,51,False
2019-09-29,26,False
2019-10-06,26,False
2019-10-13,26,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,25,False
2019-11-17,74,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,36,False
2020-02-23,22,False
2020-03-01,23,False
2020-03-08,22,False
2020-03-15,22,False
2020-03-22,61,False
2020-03-29,0,False
2020-04-05,22,False
2020-04-12,0,False
2020-04-19,21,False
2020-04-26,0,True
