date,coach amour,isPartial
2018-01-07,45,False
2018-01-14,22,False
2018-01-21,33,False
2018-01-28,0,False
2018-02-04,22,False
2018-02-11,30,False
2018-02-18,23,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,57,False
2018-03-18,23,False
2018-03-25,23,False
2018-04-01,23,False
2018-04-08,23,False
2018-04-15,49,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,23,False
2018-05-27,22,False
2018-06-03,0,False
2018-06-10,22,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,22,False
2018-07-08,0,False
2018-07-15,49,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,100,False
2018-08-12,25,False
2018-08-19,41,False
2018-08-26,31,False
2018-09-02,0,False
2018-09-09,46,False
2018-09-16,46,False
2018-09-23,23,False
2018-09-30,0,False
2018-10-07,39,False
2018-10-14,23,False
2018-10-21,47,False
2018-10-28,23,False
2018-11-04,22,False
2018-11-11,22,False
2018-11-18,22,False
2018-11-25,23,False
2018-12-02,23,False
2018-12-09,23,False
2018-12-16,0,False
2018-12-23,26,False
2018-12-30,73,False
2019-01-06,33,False
2019-01-13,34,False
2019-01-20,22,False
2019-01-27,32,False
2019-02-03,43,False
2019-02-10,31,False
2019-02-17,58,False
2019-02-24,0,False
2019-03-03,22,False
2019-03-10,34,False
2019-03-17,23,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,23,False
2019-04-21,23,False
2019-04-28,23,False
2019-05-05,22,False
2019-05-12,23,False
2019-05-19,44,False
2019-05-26,0,False
2019-06-02,21,False
2019-06-09,32,False
2019-06-16,0,False
2019-06-23,22,False
2019-06-30,0,False
2019-07-07,67,False
2019-07-14,0,False
2019-07-21,24,False
2019-07-28,24,False
2019-08-04,24,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,22,False
2019-09-01,21,False
2019-09-08,22,False
2019-09-15,21,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,21,False
2019-10-13,0,False
2019-10-20,32,False
2019-10-27,35,False
2019-11-03,0,False
2019-11-10,20,False
2019-11-17,20,False
2019-11-24,30,False
2019-12-01,30,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,23,False
2019-12-29,65,False
2020-01-05,20,False
2020-01-12,19,False
2020-01-19,40,False
2020-01-26,29,False
2020-02-02,20,False
2020-02-09,39,False
2020-02-16,59,False
2020-02-23,0,False
2020-03-01,25,False
2020-03-08,19,False
2020-03-15,18,False
2020-03-22,29,False
2020-03-29,17,False
2020-04-05,17,False
2020-04-12,27,False
2020-04-19,26,False
2020-04-26,28,False
2020-05-03,17,False
2020-05-10,17,False
2020-05-17,0,True
