date,Fahrbares Gerüst,isPartial
2018-01-07,24,False
2018-01-14,36,False
2018-01-21,49,False
2018-01-28,41,False
2018-02-04,51,False
2018-02-11,51,False
2018-02-18,25,False
2018-02-25,25,False
2018-03-04,37,False
2018-03-11,100,False
2018-03-18,42,False
2018-03-25,27,False
2018-04-01,27,False
2018-04-08,51,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,53,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,27,False
2018-05-27,39,False
2018-06-03,51,False
2018-06-10,49,False
2018-06-17,74,False
2018-06-24,26,False
2018-07-01,51,False
2018-07-08,38,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,34,False
2018-08-12,26,False
2018-08-19,43,False
2018-08-26,26,False
2018-09-02,34,False
2018-09-09,26,False
2018-09-16,25,False
2018-09-23,26,False
2018-09-30,51,False
2018-10-07,76,False
2018-10-14,51,False
2018-10-21,25,False
2018-10-28,25,False
2018-11-04,48,False
2018-11-11,25,False
2018-11-18,60,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,29,False
2018-12-30,26,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,30,False
2019-02-03,23,False
2019-02-10,24,False
2019-02-17,48,False
2019-02-24,41,False
2019-03-03,47,False
2019-03-10,31,False
2019-03-17,49,False
2019-03-24,0,False
2019-03-31,73,False
2019-04-07,36,False
2019-04-14,39,False
2019-04-21,25,False
2019-04-28,39,False
2019-05-05,39,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,49,False
2019-06-02,24,False
2019-06-09,49,False
2019-06-16,41,False
2019-06-23,49,False
2019-06-30,24,False
2019-07-07,47,False
2019-07-14,49,False
2019-07-21,26,False
2019-07-28,38,False
2019-08-04,51,False
2019-08-11,49,False
2019-08-18,25,False
2019-08-25,32,False
2019-09-01,24,False
2019-09-08,60,False
2019-09-15,24,False
2019-09-22,46,False
2019-09-29,23,False
2019-10-06,35,False
2019-10-13,69,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,43,False
2019-11-10,33,False
2019-11-17,44,False
2019-11-24,22,False
2019-12-01,67,False
2019-12-08,45,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,36,False
2020-01-05,21,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,29,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,28,False
2020-04-12,40,False
2020-04-19,29,False
2020-04-26,28,False
2020-05-03,51,False
2020-05-10,58,False
