date,biglietti matrimonio,isPartial
2018-01-07,17,False
2018-01-14,17,False
2018-01-21,41,False
2018-01-28,16,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,0,False
2018-02-25,32,False
2018-03-04,0,False
2018-03-11,32,False
2018-03-18,16,False
2018-03-25,25,False
2018-04-01,26,False
2018-04-08,32,False
2018-04-15,24,False
2018-04-22,17,False
2018-04-29,74,False
2018-05-06,24,False
2018-05-13,47,False
2018-05-20,63,False
2018-05-27,80,False
2018-06-03,41,False
2018-06-10,24,False
2018-06-17,58,False
2018-06-24,50,False
2018-07-01,49,False
2018-07-08,25,False
2018-07-15,100,False
2018-07-22,34,False
2018-07-29,44,False
2018-08-05,19,False
2018-08-12,44,False
2018-08-19,64,False
2018-08-26,34,False
2018-09-02,62,False
2018-09-09,62,False
2018-09-16,31,False
2018-09-23,31,False
2018-09-30,0,False
2018-10-07,47,False
2018-10-14,16,False
2018-10-21,15,False
2018-10-28,31,False
2018-11-04,30,False
2018-11-11,0,False
2018-11-18,30,False
2018-11-25,15,False
2018-12-02,31,False
2018-12-09,15,False
2018-12-16,0,False
2018-12-23,19,False
2018-12-30,18,False
2019-01-06,16,False
2019-01-13,45,False
2019-01-20,45,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,15,False
2019-02-17,23,False
2019-02-24,31,False
2019-03-03,16,False
2019-03-10,23,False
2019-03-17,0,False
2019-03-24,56,False
2019-03-31,16,False
2019-04-07,31,False
2019-04-14,16,False
2019-04-21,35,False
2019-04-28,16,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,15,False
2019-05-26,30,False
2019-06-02,64,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,16,False
2019-06-30,49,False
2019-07-07,48,False
2019-07-14,49,False
2019-07-21,67,False
2019-07-28,44,False
2019-08-04,76,False
2019-08-11,21,False
2019-08-18,20,False
2019-08-25,35,False
2019-09-01,83,False
2019-09-08,38,False
2019-09-15,44,False
2019-09-22,29,False
2019-09-29,22,False
2019-10-06,45,False
2019-10-13,29,False
2019-10-20,14,False
2019-10-27,14,False
2019-11-03,14,False
2019-11-10,28,False
2019-11-17,21,False
2019-11-24,28,False
2019-12-01,14,False
2019-12-08,22,False
2019-12-15,15,False
2019-12-22,18,False
2019-12-29,17,False
2020-01-05,14,False
2020-01-12,20,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,13,False
2020-02-09,34,False
2020-02-16,27,False
2020-02-23,13,False
2020-03-01,13,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,13,False
2020-04-05,13,False
2020-04-12,13,False
2020-04-19,13,False
2020-04-26,0,True
