date,dépannage chaudière,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,31,False
2018-01-28,0,False
2018-02-04,63,False
2018-02-11,32,False
2018-02-18,68,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,33,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,35,False
2018-04-22,34,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,33,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,38,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,35,False
2018-09-02,0,False
2018-09-09,32,False
2018-09-16,31,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,32,False
2018-10-14,30,False
2018-10-21,31,False
2018-10-28,100,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,63,False
2018-12-09,32,False
2018-12-16,33,False
2018-12-23,40,False
2018-12-30,37,False
2019-01-06,43,False
2019-01-13,48,False
2019-01-20,31,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,31,False
2019-02-17,32,False
2019-02-24,44,False
2019-03-03,0,False
2019-03-10,48,False
2019-03-17,32,False
2019-03-24,33,False
2019-03-31,49,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,37,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,34,False
2019-07-07,0,False
2019-07-14,37,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,42,False
2019-08-11,44,False
2019-08-18,0,False
2019-08-25,37,False
2019-09-01,0,False
2019-09-08,50,False
2019-09-15,32,False
2019-09-22,31,False
2019-09-29,0,False
2019-10-06,33,False
2019-10-13,33,False
2019-10-20,50,False
2019-10-27,67,False
2019-11-03,47,False
2019-11-10,32,False
2019-11-17,64,False
2019-11-24,62,False
2019-12-01,40,False
2019-12-08,62,False
2019-12-15,32,False
2019-12-22,38,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,31,False
2020-01-19,32,False
2020-01-26,31,False
2020-02-02,0,False
2020-02-09,32,False
2020-02-16,32,False
2020-02-23,0,False
2020-03-01,30,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,42,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,64,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,29,False
2020-05-10,31,False
2020-05-17,73,True
