date,Thai Kochkurs,isPartial
2018-01-07,25,False
2018-01-14,24,False
2018-01-21,25,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,37,False
2018-03-04,25,False
2018-03-11,0,False
2018-03-18,50,False
2018-03-25,27,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,39,False
2018-04-22,25,False
2018-04-29,53,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,26,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,50,False
2018-07-08,50,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,0,False
2018-08-05,26,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,26,False
2018-09-02,51,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,64,False
2018-09-30,26,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,48,False
2018-12-09,62,False
2018-12-16,100,False
2018-12-23,29,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,23,False
2019-01-20,34,False
2019-01-27,0,False
2019-02-03,46,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,36,False
2019-03-03,23,False
2019-03-10,69,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,61,False
2019-04-07,47,False
2019-04-14,53,False
2019-04-21,26,False
2019-04-28,35,False
2019-05-05,35,False
2019-05-12,36,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,25,False
2019-06-23,37,False
2019-06-30,24,False
2019-07-07,24,False
2019-07-14,37,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,24,False
2019-08-18,25,False
2019-08-25,0,False
2019-09-01,24,False
2019-09-08,48,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,46,False
2019-10-13,23,False
2019-10-20,46,False
2019-10-27,22,False
2019-11-03,54,False
2019-11-10,45,False
2019-11-17,33,False
2019-11-24,55,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,34,False
2019-12-22,35,False
2019-12-29,24,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,32,False
2020-02-02,53,False
2020-02-09,31,False
2020-02-16,32,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,19,False
2020-05-10,19,False
2020-05-17,0,True
