date,Wohnung renovieren,isPartial
2018-01-07,45,False
2018-01-14,44,False
2018-01-21,67,False
2018-01-28,45,False
2018-02-04,69,False
2018-02-11,91,False
2018-02-18,61,False
2018-02-25,45,False
2018-03-04,46,False
2018-03-11,45,False
2018-03-18,46,False
2018-03-25,0,False
2018-04-01,49,False
2018-04-08,47,False
2018-04-15,0,False
2018-04-22,47,False
2018-04-29,49,False
2018-05-06,50,False
2018-05-13,0,False
2018-05-20,51,False
2018-05-27,50,False
2018-06-03,0,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,70,False
2018-07-01,45,False
2018-07-08,46,False
2018-07-15,93,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,52,False
2018-08-19,78,False
2018-08-26,51,False
2018-09-02,64,False
2018-09-09,94,False
2018-09-16,47,False
2018-09-23,95,False
2018-09-30,0,False
2018-10-07,46,False
2018-10-14,91,False
2018-10-21,67,False
2018-10-28,46,False
2018-11-04,44,False
2018-11-11,0,False
2018-11-18,85,False
2018-11-25,88,False
2018-12-02,44,False
2018-12-09,88,False
2018-12-16,45,False
2018-12-23,0,False
2018-12-30,48,False
2019-01-06,71,False
2019-01-13,63,False
2019-01-20,42,False
2019-01-27,0,False
2019-02-03,63,False
2019-02-10,43,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,73,False
2019-03-10,42,False
2019-03-17,44,False
2019-03-24,43,False
2019-03-31,43,False
2019-04-07,0,False
2019-04-14,47,False
2019-04-21,45,False
2019-04-28,44,False
2019-05-05,42,False
2019-05-12,87,False
2019-05-19,85,False
2019-05-26,0,False
2019-06-02,44,False
2019-06-09,68,False
2019-06-16,46,False
2019-06-23,44,False
2019-06-30,43,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,46,False
2019-07-28,0,False
2019-08-04,48,False
2019-08-11,0,False
2019-08-18,48,False
2019-08-25,48,False
2019-09-01,60,False
2019-09-08,44,False
2019-09-15,44,False
2019-09-22,42,False
2019-09-29,0,False
2019-10-06,42,False
2019-10-13,41,False
2019-10-20,83,False
2019-10-27,62,False
2019-11-03,40,False
2019-11-10,0,False
2019-11-17,40,False
2019-11-24,78,False
2019-12-01,61,False
2019-12-08,40,False
2019-12-15,42,False
2019-12-22,47,False
2019-12-29,45,False
2020-01-05,39,False
2020-01-12,50,False
2020-01-19,39,False
2020-01-26,38,False
2020-02-02,38,False
2020-02-09,76,False
2020-02-16,100,False
2020-02-23,38,False
2020-03-01,75,False
2020-03-08,70,False
2020-03-15,35,False
2020-03-22,68,False
2020-03-29,51,False
2020-04-05,38,False
2020-04-12,54,False
2020-04-19,52,False
2020-04-26,33,False
2020-05-03,34,False
2020-05-10,51,False
