date,abiti da uomo,isPartial
2018-01-07,90,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,30,False
2018-02-04,29,False
2018-02-11,31,False
2018-02-18,0,False
2018-02-25,31,False
2018-03-04,94,False
2018-03-11,0,False
2018-03-18,48,False
2018-03-25,0,False
2018-04-01,71,False
2018-04-08,32,False
2018-04-15,32,False
2018-04-22,0,False
2018-04-29,82,False
2018-05-06,66,False
2018-05-13,64,False
2018-05-20,33,False
2018-05-27,67,False
2018-06-03,100,False
2018-06-10,30,False
2018-06-17,63,False
2018-06-24,0,False
2018-07-01,81,False
2018-07-08,32,False
2018-07-15,33,False
2018-07-22,32,False
2018-07-29,31,False
2018-08-05,45,False
2018-08-12,31,False
2018-08-19,43,False
2018-08-26,30,False
2018-09-02,61,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,30,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,31,False
2018-11-04,32,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,52,False
2018-12-09,0,False
2018-12-16,70,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,29,False
2019-01-27,30,False
2019-02-03,0,False
2019-02-10,30,False
2019-02-17,61,False
2019-02-24,31,False
2019-03-03,32,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,30,False
2019-04-07,0,False
2019-04-14,32,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,31,False
2019-05-12,30,False
2019-05-19,30,False
2019-05-26,71,False
2019-06-02,31,False
2019-06-09,0,False
2019-06-16,33,False
2019-06-23,63,False
2019-06-30,97,False
2019-07-07,31,False
2019-07-14,62,False
2019-07-21,0,False
2019-07-28,63,False
2019-08-04,0,False
2019-08-11,31,False
2019-08-18,43,False
2019-08-25,42,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,45,False
2019-11-17,30,False
2019-11-24,0,False
2019-12-01,31,False
2019-12-08,0,False
2019-12-15,31,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,0,False
2020-01-12,58,False
2020-01-19,44,False
2020-01-26,29,False
2020-02-02,56,False
2020-02-09,29,False
2020-02-16,58,False
2020-02-23,28,False
2020-03-01,41,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,0,False
2020-04-05,25,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,0,True
