date,abiti da uomo,isPartial
2018-01-07,29,False
2018-01-14,0,False
2018-01-21,28,False
2018-01-28,56,False
2018-02-04,27,False
2018-02-11,28,False
2018-02-18,81,False
2018-02-25,65,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,41,False
2018-03-25,29,False
2018-04-01,30,False
2018-04-08,43,False
2018-04-15,0,False
2018-04-22,60,False
2018-04-29,29,False
2018-05-06,58,False
2018-05-13,87,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,59,False
2018-06-10,27,False
2018-06-17,83,False
2018-06-24,55,False
2018-07-01,28,False
2018-07-08,0,False
2018-07-15,28,False
2018-07-22,54,False
2018-07-29,27,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,28,False
2018-09-16,55,False
2018-09-23,56,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,58,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,28,False
2018-11-25,28,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,29,False
2018-12-23,0,False
2018-12-30,57,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,0,False
2019-01-27,26,False
2019-02-03,25,False
2019-02-10,26,False
2019-02-17,27,False
2019-02-24,52,False
2019-03-03,42,False
2019-03-10,26,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,26,False
2019-04-07,52,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,39,False
2019-05-05,26,False
2019-05-12,25,False
2019-05-19,51,False
2019-05-26,73,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,0,False
2019-06-23,27,False
2019-06-30,40,False
2019-07-07,25,False
2019-07-14,0,False
2019-07-21,52,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,50,False
2019-09-01,72,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,24,False
2019-09-29,25,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,47,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,47,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,52,False
2019-12-29,51,False
2020-01-05,48,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,24,False
2020-02-16,23,False
2020-02-23,0,False
2020-03-01,33,False
2020-03-08,20,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,34,True
