date,Dämmung,isPartial
2018-01-07,21,False
2018-01-14,21,False
2018-01-21,0,False
2018-01-28,21,False
2018-02-04,0,False
2018-02-11,21,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,20,False
2018-03-18,42,False
2018-03-25,44,False
2018-04-01,45,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,22,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,0,False
2018-05-20,22,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,61,False
2018-06-17,21,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,21,False
2018-07-15,23,False
2018-07-22,48,False
2018-07-29,0,False
2018-08-05,46,False
2018-08-12,21,False
2018-08-19,21,False
2018-08-26,40,False
2018-09-02,20,False
2018-09-09,21,False
2018-09-16,20,False
2018-09-23,41,False
2018-09-30,21,False
2018-10-07,66,False
2018-10-14,0,False
2018-10-21,20,False
2018-10-28,19,False
2018-11-04,18,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,71,False
2018-12-02,0,False
2018-12-09,64,False
2018-12-16,44,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,19,False
2019-01-13,20,False
2019-01-20,39,False
2019-01-27,37,False
2019-02-03,42,False
2019-02-10,22,False
2019-02-17,43,False
2019-02-24,0,False
2019-03-03,72,False
2019-03-10,40,False
2019-03-17,41,False
2019-03-24,0,False
2019-03-31,60,False
2019-04-07,0,False
2019-04-14,68,False
2019-04-21,23,False
2019-04-28,18,False
2019-05-05,20,False
2019-05-12,20,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,20,False
2019-06-16,64,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,20,False
2019-07-14,23,False
2019-07-21,74,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,20,False
2019-09-01,18,False
2019-09-08,20,False
2019-09-15,40,False
2019-09-22,0,False
2019-09-29,60,False
2019-10-06,0,False
2019-10-13,20,False
2019-10-20,0,False
2019-10-27,39,False
2019-11-03,76,False
2019-11-10,100,False
2019-11-17,20,False
2019-11-24,57,False
2019-12-01,39,False
2019-12-08,39,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,38,False
2020-01-12,18,False
2020-01-19,0,False
2020-01-26,37,False
2020-02-02,0,False
2020-02-09,19,False
2020-02-16,0,False
2020-02-23,36,False
2020-03-01,18,False
2020-03-08,18,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,59,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,53,False
2020-05-03,0,False
2020-05-10,53,False
2020-05-17,19,False
2020-05-24,73,False
2020-05-31,18,False
2020-06-07,0,False
2020-06-14,54,False
2020-06-21,0,False
2020-06-28,37,False
2020-07-05,19,False
