date,Container Baumischabfall,isPartial
2018-01-07,0,False
2018-01-14,27,False
2018-01-21,31,False
2018-01-28,0,False
2018-02-04,21,False
2018-02-11,21,False
2018-02-18,41,False
2018-02-25,41,False
2018-03-04,21,False
2018-03-11,41,False
2018-03-18,41,False
2018-03-25,33,False
2018-04-01,33,False
2018-04-08,35,False
2018-04-15,22,False
2018-04-22,42,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,0,False
2018-05-27,21,False
2018-06-03,21,False
2018-06-10,20,False
2018-06-17,20,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,21,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,36,False
2018-08-19,32,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,20,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,19,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,29,False
2019-01-13,25,False
2019-01-20,38,False
2019-01-27,38,False
2019-02-03,39,False
2019-02-10,59,False
2019-02-17,20,False
2019-02-24,50,False
2019-03-03,39,False
2019-03-10,26,False
2019-03-17,100,False
2019-03-24,30,False
2019-03-31,40,False
2019-04-07,19,False
2019-04-14,22,False
2019-04-21,21,False
2019-04-28,69,False
2019-05-05,38,False
2019-05-12,26,False
2019-05-19,39,False
2019-05-26,20,False
2019-06-02,20,False
2019-06-09,20,False
2019-06-16,34,False
2019-06-23,27,False
2019-06-30,20,False
2019-07-07,33,False
2019-07-14,20,False
2019-07-21,22,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,20,False
2019-08-18,0,False
2019-08-25,30,False
2019-09-01,49,False
2019-09-08,20,False
2019-09-15,40,False
2019-09-22,19,False
2019-09-29,29,False
2019-10-06,48,False
2019-10-13,19,False
2019-10-20,19,False
2019-10-27,0,False
2019-11-03,18,False
2019-11-10,37,False
2019-11-17,27,False
2019-11-24,18,False
2019-12-01,19,False
2019-12-08,18,False
2019-12-15,37,False
2019-12-22,21,False
2019-12-29,30,False
2020-01-05,24,False
2020-01-12,17,False
2020-01-19,35,False
2020-01-26,23,False
2020-02-02,41,False
2020-02-09,34,False
2020-02-16,27,False
2020-02-23,17,False
2020-03-01,17,False
2020-03-08,16,False
2020-03-15,37,False
2020-03-22,39,False
2020-03-29,42,False
2020-04-05,40,False
2020-04-12,33,False
2020-04-19,40,False
2020-04-26,31,False
2020-05-03,32,False
2020-05-10,48,False
