date,costume homme sur mesure,isPartial
2018-01-07,92,False
2018-01-14,56,False
2018-01-21,45,False
2018-01-28,23,False
2018-02-04,68,False
2018-02-11,34,False
2018-02-18,35,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,58,False
2018-03-18,23,False
2018-03-25,46,False
2018-04-01,47,False
2018-04-08,58,False
2018-04-15,25,False
2018-04-22,72,False
2018-04-29,71,False
2018-05-06,37,False
2018-05-13,0,False
2018-05-20,48,False
2018-05-27,23,False
2018-06-03,45,False
2018-06-10,0,False
2018-06-17,35,False
2018-06-24,47,False
2018-07-01,0,False
2018-07-08,36,False
2018-07-15,75,False
2018-07-22,37,False
2018-07-29,50,False
2018-08-05,100,False
2018-08-12,0,False
2018-08-19,63,False
2018-08-26,60,False
2018-09-02,24,False
2018-09-09,23,False
2018-09-16,70,False
2018-09-23,0,False
2018-09-30,71,False
2018-10-07,24,False
2018-10-14,47,False
2018-10-21,24,False
2018-10-28,36,False
2018-11-04,57,False
2018-11-11,23,False
2018-11-18,23,False
2018-11-25,46,False
2018-12-02,46,False
2018-12-09,23,False
2018-12-16,24,False
2018-12-23,54,False
2018-12-30,50,False
2019-01-06,46,False
2019-01-13,0,False
2019-01-20,22,False
2019-01-27,22,False
2019-02-03,0,False
2019-02-10,23,False
2019-02-17,24,False
2019-02-24,23,False
2019-03-03,45,False
2019-03-10,34,False
2019-03-17,24,False
2019-03-24,83,False
2019-03-31,46,False
2019-04-07,59,False
2019-04-14,24,False
2019-04-21,82,False
2019-04-28,58,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,34,False
2019-05-26,23,False
2019-06-02,21,False
2019-06-09,66,False
2019-06-16,45,False
2019-06-23,45,False
2019-06-30,34,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,24,False
2019-07-28,37,False
2019-08-04,49,False
2019-08-11,73,False
2019-08-18,24,False
2019-08-25,23,False
2019-09-01,66,False
2019-09-08,44,False
2019-09-15,55,False
2019-09-22,64,False
2019-09-29,32,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,32,False
2019-10-27,63,False
2019-11-03,31,False
2019-11-10,42,False
2019-11-17,42,False
2019-11-24,60,False
2019-12-01,41,False
2019-12-08,20,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,55,False
2020-01-05,60,False
2020-01-12,39,False
2020-01-19,71,False
2020-01-26,60,False
2020-02-02,40,False
2020-02-09,20,False
2020-02-16,41,False
2020-02-23,19,False
2020-03-01,39,False
2020-03-08,29,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,18,False
2020-04-05,18,False
2020-04-12,43,True
