date,Punto Croce,isPartial
2018-01-07,39,False
2018-01-14,98,False
2018-01-21,29,False
2018-01-28,39,False
2018-02-04,75,False
2018-02-11,58,False
2018-02-18,58,False
2018-02-25,27,False
2018-03-04,37,False
2018-03-11,38,False
2018-03-18,69,False
2018-03-25,19,False
2018-04-01,39,False
2018-04-08,37,False
2018-04-15,0,False
2018-04-22,39,False
2018-04-29,55,False
2018-05-06,19,False
2018-05-13,47,False
2018-05-20,48,False
2018-05-27,28,False
2018-06-03,19,False
2018-06-10,27,False
2018-06-17,47,False
2018-06-24,28,False
2018-07-01,27,False
2018-07-08,35,False
2018-07-15,53,False
2018-07-22,0,False
2018-07-29,18,False
2018-08-05,70,False
2018-08-12,25,False
2018-08-19,18,False
2018-08-26,27,False
2018-09-02,37,False
2018-09-09,66,False
2018-09-16,47,False
2018-09-23,48,False
2018-09-30,76,False
2018-10-07,38,False
2018-10-14,100,False
2018-10-21,29,False
2018-10-28,28,False
2018-11-04,46,False
2018-11-11,70,False
2018-11-18,39,False
2018-11-25,20,False
2018-12-02,20,False
2018-12-09,81,False
2018-12-16,41,False
2018-12-23,34,False
2018-12-30,21,False
2019-01-06,50,False
2019-01-13,38,False
2019-01-20,27,False
2019-01-27,51,False
2019-02-03,36,False
2019-02-10,27,False
2019-02-17,38,False
2019-02-24,19,False
2019-03-03,63,False
2019-03-10,45,False
2019-03-17,27,False
2019-03-24,55,False
2019-03-31,18,False
2019-04-07,18,False
2019-04-14,18,False
2019-04-21,25,False
2019-04-28,17,False
2019-05-05,26,False
2019-05-12,53,False
2019-05-19,52,False
2019-05-26,34,False
2019-06-02,37,False
2019-06-09,0,False
2019-06-16,26,False
2019-06-23,35,False
2019-06-30,0,False
2019-07-07,33,False
2019-07-14,17,False
2019-07-21,51,False
2019-07-28,25,False
2019-08-04,33,False
2019-08-11,41,False
2019-08-18,24,False
2019-08-25,32,False
2019-09-01,73,False
2019-09-08,34,False
2019-09-15,59,False
2019-09-22,16,False
2019-09-29,25,False
2019-10-06,17,False
2019-10-13,49,False
2019-10-20,32,False
2019-10-27,49,False
2019-11-03,32,False
2019-11-10,25,False
2019-11-17,39,False
2019-11-24,32,False
2019-12-01,17,False
2019-12-08,17,False
2019-12-15,26,False
2019-12-22,41,False
2019-12-29,18,False
2020-01-05,43,False
2020-01-12,48,False
2020-01-19,34,False
2020-01-26,16,False
2020-02-02,48,False
2020-02-09,67,False
2020-02-16,66,False
2020-02-23,46,False
2020-03-01,38,False
2020-03-08,50,False
2020-03-15,36,False
2020-03-22,55,False
2020-03-29,35,False
2020-04-05,29,False
2020-04-12,22,False
2020-04-19,56,False
2020-04-26,72,True
