date,Elektriker,isPartial
2018-01-07,38,False
2018-01-14,28,False
2018-01-21,19,False
2018-01-28,29,False
2018-02-04,41,False
2018-02-11,28,False
2018-02-18,37,False
2018-02-25,18,False
2018-03-04,75,False
2018-03-11,28,False
2018-03-18,37,False
2018-03-25,58,False
2018-04-01,60,False
2018-04-08,59,False
2018-04-15,20,False
2018-04-22,19,False
2018-04-29,40,False
2018-05-06,20,False
2018-05-13,19,False
2018-05-20,49,False
2018-05-27,20,False
2018-06-03,47,False
2018-06-10,36,False
2018-06-17,38,False
2018-06-24,19,False
2018-07-01,19,False
2018-07-08,19,False
2018-07-15,39,False
2018-07-22,19,False
2018-07-29,50,False
2018-08-05,47,False
2018-08-12,59,False
2018-08-19,28,False
2018-08-26,45,False
2018-09-02,18,False
2018-09-09,37,False
2018-09-16,83,False
2018-09-23,64,False
2018-09-30,46,False
2018-10-07,47,False
2018-10-14,0,False
2018-10-21,47,False
2018-10-28,38,False
2018-11-04,44,False
2018-11-11,54,False
2018-11-18,52,False
2018-11-25,53,False
2018-12-02,100,False
2018-12-09,18,False
2018-12-16,64,False
2018-12-23,20,False
2018-12-30,27,False
2019-01-06,48,False
2019-01-13,42,False
2019-01-20,42,False
2019-01-27,17,False
2019-02-03,63,False
2019-02-10,33,False
2019-02-17,17,False
2019-02-24,25,False
2019-03-03,52,False
2019-03-10,17,False
2019-03-17,35,False
2019-03-24,52,False
2019-03-31,26,False
2019-04-07,35,False
2019-04-14,66,False
2019-04-21,72,False
2019-04-28,75,False
2019-05-05,41,False
2019-05-12,49,False
2019-05-19,41,False
2019-05-26,41,False
2019-06-02,43,False
2019-06-09,18,False
2019-06-16,52,False
2019-06-23,43,False
2019-06-30,44,False
2019-07-07,76,False
2019-07-14,44,False
2019-07-21,54,False
2019-07-28,43,False
2019-08-04,36,False
2019-08-11,17,False
2019-08-18,24,False
2019-08-25,48,False
2019-09-01,46,False
2019-09-08,41,False
2019-09-15,50,False
2019-09-22,16,False
2019-09-29,32,False
2019-10-06,32,False
2019-10-13,40,False
2019-10-20,63,False
2019-10-27,63,False
2019-11-03,54,False
2019-11-10,61,False
2019-11-17,47,False
2019-11-24,39,False
2019-12-01,39,False
2019-12-08,56,False
2019-12-15,81,False
2019-12-22,43,False
2019-12-29,47,False
2020-01-05,50,False
2020-01-12,28,False
2020-01-19,66,False
2020-01-26,73,False
2020-02-02,54,False
2020-02-09,37,False
2020-02-16,44,False
2020-02-23,43,False
2020-03-01,86,False
2020-03-08,48,False
2020-03-15,32,False
2020-03-22,49,False
2020-03-29,43,False
2020-04-05,48,False
2020-04-12,26,False
2020-04-19,45,False
2020-04-26,32,False
2020-05-03,93,False
2020-05-10,72,False
2020-05-17,35,False
2020-05-24,39,False
2020-05-31,59,False
2020-06-07,48,False
2020-06-14,52,False
2020-06-21,35,False
2020-06-28,43,False
2020-07-05,38,False
