date,Uncinetto Tunisino,isPartial
2018-01-07,43,False
2018-01-14,63,False
2018-01-21,41,False
2018-01-28,55,False
2018-02-04,27,False
2018-02-11,70,False
2018-02-18,40,False
2018-02-25,20,False
2018-03-04,47,False
2018-03-11,41,False
2018-03-18,48,False
2018-03-25,22,False
2018-04-01,15,False
2018-04-08,41,False
2018-04-15,21,False
2018-04-22,37,False
2018-04-29,28,False
2018-05-06,14,False
2018-05-13,14,False
2018-05-20,42,False
2018-05-27,28,False
2018-06-03,14,False
2018-06-10,13,False
2018-06-17,21,False
2018-06-24,28,False
2018-07-01,14,False
2018-07-08,21,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,14,False
2018-08-05,37,False
2018-08-12,16,False
2018-08-19,31,False
2018-08-26,14,False
2018-09-02,20,False
2018-09-09,34,False
2018-09-16,40,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,56,False
2018-10-14,49,False
2018-10-21,27,False
2018-10-28,41,False
2018-11-04,66,False
2018-11-11,62,False
2018-11-18,89,False
2018-11-25,41,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,15,False
2018-12-23,50,False
2018-12-30,15,False
2019-01-06,28,False
2019-01-13,61,False
2019-01-20,39,False
2019-01-27,38,False
2019-02-03,39,False
2019-02-10,40,False
2019-02-17,34,False
2019-02-24,27,False
2019-03-03,42,False
2019-03-10,41,False
2019-03-17,49,False
2019-03-24,14,False
2019-03-31,42,False
2019-04-07,27,False
2019-04-14,42,False
2019-04-21,29,False
2019-04-28,14,False
2019-05-05,40,False
2019-05-12,13,False
2019-05-19,26,False
2019-05-26,38,False
2019-06-02,0,False
2019-06-09,14,False
2019-06-16,14,False
2019-06-23,14,False
2019-06-30,14,False
2019-07-07,13,False
2019-07-14,14,False
2019-07-21,57,False
2019-07-28,14,False
2019-08-04,15,False
2019-08-11,39,False
2019-08-18,29,False
2019-08-25,27,False
2019-09-01,63,False
2019-09-08,39,False
2019-09-15,13,False
2019-09-22,25,False
2019-09-29,32,False
2019-10-06,65,False
2019-10-13,19,False
2019-10-20,25,False
2019-10-27,32,False
2019-11-03,49,False
2019-11-10,37,False
2019-11-17,25,False
2019-11-24,31,False
2019-12-01,71,False
2019-12-08,19,False
2019-12-15,39,False
2019-12-22,30,False
2019-12-29,43,False
2020-01-05,19,False
2020-01-12,24,False
2020-01-19,42,False
2020-01-26,29,False
2020-02-02,100,False
2020-02-09,42,False
2020-02-16,60,False
2020-02-23,68,False
2020-03-01,67,False
2020-03-08,87,False
2020-03-15,49,False
2020-03-22,31,False
2020-03-29,36,False
2020-04-05,11,False
2020-04-12,33,False
2020-04-19,26,False
2020-04-26,54,True
