date,Make-up,isPartial
2018-01-07,25,False
2018-01-14,25,False
2018-01-21,44,False
2018-01-28,32,False
2018-02-04,25,False
2018-02-11,51,False
2018-02-18,52,False
2018-02-25,38,False
2018-03-04,51,False
2018-03-11,58,False
2018-03-18,32,False
2018-03-25,26,False
2018-04-01,33,False
2018-04-08,32,False
2018-04-15,62,False
2018-04-22,53,False
2018-04-29,39,False
2018-05-06,14,False
2018-05-13,26,False
2018-05-20,66,False
2018-05-27,51,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,38,False
2018-06-24,13,False
2018-07-01,38,False
2018-07-08,33,False
2018-07-15,35,False
2018-07-22,42,False
2018-07-29,42,False
2018-08-05,0,False
2018-08-12,50,False
2018-08-19,28,False
2018-08-26,40,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,52,False
2018-09-23,66,False
2018-09-30,46,False
2018-10-07,46,False
2018-10-14,52,False
2018-10-21,40,False
2018-10-28,66,False
2018-11-04,38,False
2018-11-11,37,False
2018-11-18,0,False
2018-11-25,51,False
2018-12-02,65,False
2018-12-09,45,False
2018-12-16,20,False
2018-12-23,52,False
2018-12-30,63,False
2019-01-06,51,False
2019-01-13,26,False
2019-01-20,18,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,32,False
2019-02-17,53,False
2019-02-24,20,False
2019-03-03,44,False
2019-03-10,19,False
2019-03-17,39,False
2019-03-24,33,False
2019-03-31,58,False
2019-04-07,33,False
2019-04-14,41,False
2019-04-21,26,False
2019-04-28,26,False
2019-05-05,31,False
2019-05-12,38,False
2019-05-19,25,False
2019-05-26,19,False
2019-06-02,24,False
2019-06-09,12,False
2019-06-16,57,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,19,False
2019-07-14,39,False
2019-07-21,40,False
2019-07-28,61,False
2019-08-04,41,False
2019-08-11,47,False
2019-08-18,40,False
2019-08-25,25,False
2019-09-01,43,False
2019-09-08,25,False
2019-09-15,24,False
2019-09-22,47,False
2019-09-29,35,False
2019-10-06,48,False
2019-10-13,54,False
2019-10-20,24,False
2019-10-27,100,False
2019-11-03,63,False
2019-11-10,47,False
2019-11-17,12,False
2019-11-24,28,False
2019-12-01,40,False
2019-12-08,40,False
2019-12-15,29,False
2019-12-22,26,False
2019-12-29,49,False
2020-01-05,33,False
2020-01-12,38,False
2020-01-19,34,False
2020-01-26,33,False
2020-02-02,23,False
2020-02-09,16,False
2020-02-16,39,False
2020-02-23,54,False
2020-03-01,26,False
2020-03-08,26,False
2020-03-15,35,False
2020-03-22,39,False
2020-03-29,45,False
2020-04-05,70,False
2020-04-12,60,True
