date,Wände verputzen,isPartial
2018-01-07,27,False
2018-01-14,0,False
2018-01-21,52,False
2018-01-28,39,False
2018-02-04,27,False
2018-02-11,27,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,40,False
2018-03-11,26,False
2018-03-18,26,False
2018-03-25,66,False
2018-04-01,98,False
2018-04-08,27,False
2018-04-15,54,False
2018-04-22,26,False
2018-04-29,55,False
2018-05-06,0,False
2018-05-13,79,False
2018-05-20,28,False
2018-05-27,53,False
2018-06-03,35,False
2018-06-10,25,False
2018-06-17,52,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,25,False
2018-07-15,54,False
2018-07-22,0,False
2018-07-29,42,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,27,False
2018-08-26,27,False
2018-09-02,53,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,68,False
2018-10-07,36,False
2018-10-14,27,False
2018-10-21,54,False
2018-10-28,26,False
2018-11-04,51,False
2018-11-11,39,False
2018-11-18,50,False
2018-11-25,0,False
2018-12-02,38,False
2018-12-09,38,False
2018-12-16,26,False
2018-12-23,45,False
2018-12-30,55,False
2019-01-06,25,False
2019-01-13,72,False
2019-01-20,37,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,25,False
2019-02-17,50,False
2019-02-24,26,False
2019-03-03,49,False
2019-03-10,0,False
2019-03-17,63,False
2019-03-24,50,False
2019-03-31,50,False
2019-04-07,25,False
2019-04-14,28,False
2019-04-21,67,False
2019-04-28,51,False
2019-05-05,25,False
2019-05-12,51,False
2019-05-19,0,False
2019-05-26,64,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,26,False
2019-06-23,0,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,43,False
2019-07-28,46,False
2019-08-04,28,False
2019-08-11,26,False
2019-08-18,53,False
2019-08-25,100,False
2019-09-01,0,False
2019-09-08,38,False
2019-09-15,34,False
2019-09-22,25,False
2019-09-29,62,False
2019-10-06,61,False
2019-10-13,41,False
2019-10-20,33,False
2019-10-27,0,False
2019-11-03,31,False
2019-11-10,47,False
2019-11-17,23,False
2019-11-24,22,False
2019-12-01,47,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,27,False
2019-12-29,51,False
2020-01-05,34,False
2020-01-12,43,False
2020-01-19,22,False
2020-01-26,45,False
2020-02-02,33,False
2020-02-09,36,False
2020-02-16,37,False
2020-02-23,32,False
2020-03-01,32,False
2020-03-08,20,False
2020-03-15,40,False
2020-03-22,40,False
2020-03-29,40,False
2020-04-05,33,False
2020-04-12,62,False
2020-04-19,54,False
2020-04-26,40,False
2020-05-03,30,False
2020-05-10,41,False
