date,mudanzas y guardamuebles,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,40,False
2018-01-28,0,False
2018-02-04,39,False
2018-02-11,61,False
2018-02-18,0,False
2018-02-25,39,False
2018-03-04,0,False
2018-03-11,39,False
2018-03-18,61,False
2018-03-25,0,False
2018-04-01,41,False
2018-04-08,38,False
2018-04-15,0,False
2018-04-22,40,False
2018-04-29,41,False
2018-05-06,39,False
2018-05-13,40,False
2018-05-20,80,False
2018-05-27,59,False
2018-06-03,39,False
2018-06-10,38,False
2018-06-17,42,False
2018-06-24,82,False
2018-07-01,82,False
2018-07-08,61,False
2018-07-15,42,False
2018-07-22,63,False
2018-07-29,42,False
2018-08-05,42,False
2018-08-12,0,False
2018-08-19,44,False
2018-08-26,62,False
2018-09-02,40,False
2018-09-09,40,False
2018-09-16,39,False
2018-09-23,39,False
2018-09-30,39,False
2018-10-07,0,False
2018-10-14,38,False
2018-10-21,79,False
2018-10-28,40,False
2018-11-04,38,False
2018-11-11,77,False
2018-11-18,37,False
2018-11-25,39,False
2018-12-02,55,False
2018-12-09,40,False
2018-12-16,0,False
2018-12-23,46,False
2018-12-30,44,False
2019-01-06,40,False
2019-01-13,38,False
2019-01-20,73,False
2019-01-27,37,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,39,False
2019-02-24,38,False
2019-03-03,79,False
2019-03-10,100,False
2019-03-17,40,False
2019-03-24,40,False
2019-03-31,94,False
2019-04-07,39,False
2019-04-14,40,False
2019-04-21,0,False
2019-04-28,39,False
2019-05-05,38,False
2019-05-12,38,False
2019-05-19,38,False
2019-05-26,75,False
2019-06-02,37,False
2019-06-09,37,False
2019-06-16,78,False
2019-06-23,40,False
2019-06-30,0,False
2019-07-07,77,False
2019-07-14,40,False
2019-07-21,40,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,42,False
2019-08-18,40,False
2019-08-25,38,False
2019-09-01,37,False
2019-09-08,36,False
2019-09-15,36,False
2019-09-22,0,False
2019-09-29,72,False
2019-10-06,36,False
2019-10-13,35,False
2019-10-20,35,False
2019-10-27,35,False
2019-11-03,52,False
2019-11-10,35,False
2019-11-17,35,False
2019-11-24,34,False
2019-12-01,36,False
2019-12-08,37,False
2019-12-15,35,False
2019-12-22,39,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,0,False
2020-01-26,33,False
2020-02-02,34,False
2020-02-09,34,False
2020-02-16,67,False
2020-02-23,0,False
2020-03-01,43,False
2020-03-08,31,False
2020-03-15,62,False
2020-03-22,58,False
2020-03-29,29,False
2020-04-05,31,False
2020-04-12,44,False
2020-04-19,29,False
2020-04-26,29,False
2020-05-03,29,False
2020-05-10,29,False
2020-05-17,35,True
