date,Schlüssel verloren,isPartial
2018-01-07,64,False
2018-01-14,0,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,33,False
2018-02-11,67,False
2018-02-18,0,False
2018-02-25,32,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,35,False
2018-04-01,35,False
2018-04-08,35,False
2018-04-15,0,False
2018-04-22,100,False
2018-04-29,69,False
2018-05-06,69,False
2018-05-13,50,False
2018-05-20,67,False
2018-05-27,0,False
2018-06-03,68,False
2018-06-10,49,False
2018-06-17,34,False
2018-06-24,52,False
2018-07-01,0,False
2018-07-08,34,False
2018-07-15,35,False
2018-07-22,34,False
2018-07-29,33,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,50,False
2018-09-02,33,False
2018-09-09,0,False
2018-09-16,50,False
2018-09-23,0,False
2018-09-30,35,False
2018-10-07,0,False
2018-10-14,45,False
2018-10-21,33,False
2018-10-28,43,False
2018-11-04,32,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,64,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,61,False
2019-02-03,31,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,33,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,32,False
2019-03-24,64,False
2019-03-31,32,False
2019-04-07,32,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,31,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,0,False
2019-06-23,32,False
2019-06-30,33,False
2019-07-07,48,False
2019-07-14,0,False
2019-07-21,86,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,31,False
2019-08-18,31,False
2019-08-25,0,False
2019-09-01,31,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,46,False
2019-09-29,0,False
2019-10-06,31,False
2019-10-13,45,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,30,False
2019-12-22,32,False
2019-12-29,30,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,28,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,27,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,37,False
2020-04-19,40,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,24,False
