date,bauen,isPartial
2018-01-07,37,False
2018-01-14,58,False
2018-01-21,51,False
2018-01-28,83,False
2018-02-04,48,False
2018-02-11,60,False
2018-02-18,71,False
2018-02-25,68,False
2018-03-04,59,False
2018-03-11,57,False
2018-03-18,64,False
2018-03-25,63,False
2018-04-01,46,False
2018-04-08,64,False
2018-04-15,79,False
2018-04-22,95,False
2018-04-29,59,False
2018-05-06,54,False
2018-05-13,46,False
2018-05-20,65,False
2018-05-27,47,False
2018-06-03,57,False
2018-06-10,49,False
2018-06-17,56,False
2018-06-24,33,False
2018-07-01,29,False
2018-07-08,32,False
2018-07-15,47,False
2018-07-22,56,False
2018-07-29,60,False
2018-08-05,54,False
2018-08-12,56,False
2018-08-19,26,False
2018-08-26,73,False
2018-09-02,54,False
2018-09-09,40,False
2018-09-16,27,False
2018-09-23,58,False
2018-09-30,45,False
2018-10-07,53,False
2018-10-14,50,False
2018-10-21,53,False
2018-10-28,50,False
2018-11-04,43,False
2018-11-11,66,False
2018-11-18,45,False
2018-11-25,48,False
2018-12-02,37,False
2018-12-09,32,False
2018-12-16,25,False
2018-12-23,39,False
2018-12-30,59,False
2019-01-06,47,False
2019-01-13,49,False
2019-01-20,41,False
2019-01-27,31,False
2019-02-03,59,False
2019-02-10,49,False
2019-02-17,57,False
2019-02-24,47,False
2019-03-03,41,False
2019-03-10,61,False
2019-03-17,36,False
2019-03-24,74,False
2019-03-31,56,False
2019-04-07,86,False
2019-04-14,66,False
2019-04-21,70,False
2019-04-28,57,False
2019-05-05,55,False
2019-05-12,65,False
2019-05-19,74,False
2019-05-26,49,False
2019-06-02,30,False
2019-06-09,57,False
2019-06-16,30,False
2019-06-23,47,False
2019-06-30,56,False
2019-07-07,59,False
2019-07-14,74,False
2019-07-21,40,False
2019-07-28,60,False
2019-08-04,41,False
2019-08-11,56,False
2019-08-18,44,False
2019-08-25,61,False
2019-09-01,43,False
2019-09-08,45,False
2019-09-15,46,False
2019-09-22,47,False
2019-09-29,63,False
2019-10-06,52,False
2019-10-13,57,False
2019-10-20,32,False
2019-10-27,53,False
2019-11-03,39,False
2019-11-10,23,False
2019-11-17,54,False
2019-11-24,52,False
2019-12-01,29,False
2019-12-08,61,False
2019-12-15,51,False
2019-12-22,35,False
2019-12-29,66,False
2020-01-05,28,False
2020-01-12,57,False
2020-01-19,46,False
2020-01-26,24,False
2020-02-02,47,False
2020-02-09,62,False
2020-02-16,33,False
2020-02-23,49,False
2020-03-01,60,False
2020-03-08,47,False
2020-03-15,41,False
2020-03-22,63,False
2020-03-29,88,False
2020-04-05,100,False
2020-04-12,62,False
2020-04-19,80,False
2020-04-26,88,False
2020-05-03,89,False
2020-05-10,82,False
2020-05-17,84,False
2020-05-24,46,False
2020-05-31,58,False
2020-06-07,69,False
2020-06-14,59,False
2020-06-21,67,False
2020-06-28,54,False
2020-07-05,65,False
