date,bauen,isPartial
2018-01-07,20,False
2018-01-14,21,False
2018-01-21,21,False
2018-01-28,21,False
2018-02-04,53,False
2018-02-11,32,False
2018-02-18,31,False
2018-02-25,54,False
2018-03-04,21,False
2018-03-11,53,False
2018-03-18,62,False
2018-03-25,42,False
2018-04-01,22,False
2018-04-08,34,False
2018-04-15,68,False
2018-04-22,22,False
2018-04-29,45,False
2018-05-06,72,False
2018-05-13,21,False
2018-05-20,44,False
2018-05-27,45,False
2018-06-03,43,False
2018-06-10,0,False
2018-06-17,44,False
2018-06-24,33,False
2018-07-01,22,False
2018-07-08,35,False
2018-07-15,0,False
2018-07-22,52,False
2018-07-29,26,False
2018-08-05,46,False
2018-08-12,22,False
2018-08-19,65,False
2018-08-26,22,False
2018-09-02,44,False
2018-09-09,44,False
2018-09-16,45,False
2018-09-23,23,False
2018-09-30,48,False
2018-10-07,49,False
2018-10-14,46,False
2018-10-21,34,False
2018-10-28,53,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,84,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,0,False
2018-12-30,23,False
2019-01-06,41,False
2019-01-13,21,False
2019-01-20,0,False
2019-01-27,20,False
2019-02-03,41,False
2019-02-10,21,False
2019-02-17,43,False
2019-02-24,46,False
2019-03-03,32,False
2019-03-10,42,False
2019-03-17,22,False
2019-03-24,53,False
2019-03-31,21,False
2019-04-07,82,False
2019-04-14,66,False
2019-04-21,0,False
2019-04-28,21,False
2019-05-05,65,False
2019-05-12,41,False
2019-05-19,21,False
2019-05-26,33,False
2019-06-02,43,False
2019-06-09,21,False
2019-06-16,63,False
2019-06-23,34,False
2019-06-30,43,False
2019-07-07,22,False
2019-07-14,100,False
2019-07-21,26,False
2019-07-28,39,False
2019-08-04,24,False
2019-08-11,86,False
2019-08-18,53,False
2019-08-25,84,False
2019-09-01,41,False
2019-09-08,0,False
2019-09-15,21,False
2019-09-22,43,False
2019-09-29,33,False
2019-10-06,90,False
2019-10-13,20,False
2019-10-20,19,False
2019-10-27,39,False
2019-11-03,69,False
2019-11-10,88,False
2019-11-17,39,False
2019-11-24,38,False
2019-12-01,38,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,55,False
2019-12-29,20,False
2020-01-05,48,False
2020-01-12,18,False
2020-01-19,75,False
2020-01-26,18,False
2020-02-02,27,False
2020-02-09,18,False
2020-02-16,37,False
2020-02-23,55,False
2020-03-01,46,False
2020-03-08,25,False
2020-03-15,66,False
2020-03-22,36,False
2020-03-29,29,False
2020-04-05,72,False
2020-04-12,47,False
2020-04-19,76,False
2020-04-26,53,False
2020-05-03,63,False
2020-05-10,38,False
2020-05-17,42,False
2020-05-24,41,False
2020-05-31,24,False
2020-06-07,48,False
2020-06-14,24,False
2020-06-21,44,False
2020-06-28,16,False
2020-07-05,28,False
