date,bauen,isPartial
2018-01-07,51,False
2018-01-14,0,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,48,False
2018-02-25,37,False
2018-03-04,27,False
2018-03-11,26,False
2018-03-18,0,False
2018-03-25,26,False
2018-04-01,26,False
2018-04-08,27,False
2018-04-15,58,False
2018-04-22,27,False
2018-04-29,28,False
2018-05-06,57,False
2018-05-13,0,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,25,False
2018-06-17,27,False
2018-06-24,0,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,55,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,54,False
2018-08-12,24,False
2018-08-19,23,False
2018-08-26,100,False
2018-09-02,27,False
2018-09-09,27,False
2018-09-16,24,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,31,False
2018-10-14,24,False
2018-10-21,26,False
2018-10-28,37,False
2018-11-04,24,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,26,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,35,False
2019-01-27,23,False
2019-02-03,65,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,49,False
2019-03-31,47,False
2019-04-07,23,False
2019-04-14,25,False
2019-04-21,24,False
2019-04-28,39,False
2019-05-05,0,False
2019-05-12,27,False
2019-05-19,23,False
2019-05-26,26,False
2019-06-02,24,False
2019-06-09,35,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,27,False
2019-07-21,26,False
2019-07-28,51,False
2019-08-04,25,False
2019-08-11,23,False
2019-08-18,22,False
2019-08-25,61,False
2019-09-01,23,False
2019-09-08,44,False
2019-09-15,24,False
2019-09-22,34,False
2019-09-29,24,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,23,False
2019-10-27,36,False
2019-11-03,45,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,71,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,42,False
2020-01-12,22,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,18,False
2020-03-15,39,False
2020-03-22,17,False
2020-03-29,51,False
2020-04-05,0,False
2020-04-12,36,False
2020-04-19,17,False
2020-04-26,17,False
2020-05-03,38,False
2020-05-10,26,False
2020-05-17,30,False
2020-05-24,38,False
2020-05-31,18,False
2020-06-07,18,False
2020-06-14,36,False
2020-06-21,20,False
2020-06-28,20,False
2020-07-05,41,False
