date,Erdarbeiten,isPartial
2018-01-07,52,False
2018-01-14,26,False
2018-01-21,34,False
2018-01-28,26,False
2018-02-04,80,False
2018-02-11,55,False
2018-02-18,63,False
2018-02-25,27,False
2018-03-04,45,False
2018-03-11,41,False
2018-03-18,55,False
2018-03-25,44,False
2018-04-01,44,False
2018-04-08,56,False
2018-04-15,66,False
2018-04-22,82,False
2018-04-29,28,False
2018-05-06,0,False
2018-05-13,44,False
2018-05-20,29,False
2018-05-27,29,False
2018-06-03,63,False
2018-06-10,43,False
2018-06-17,26,False
2018-06-24,65,False
2018-07-01,26,False
2018-07-08,77,False
2018-07-15,52,False
2018-07-22,35,False
2018-07-29,40,False
2018-08-05,46,False
2018-08-12,39,False
2018-08-19,0,False
2018-08-26,28,False
2018-09-02,99,False
2018-09-09,40,False
2018-09-16,41,False
2018-09-23,27,False
2018-09-30,40,False
2018-10-07,53,False
2018-10-14,53,False
2018-10-21,62,False
2018-10-28,53,False
2018-11-04,38,False
2018-11-11,53,False
2018-11-18,63,False
2018-11-25,64,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,27,False
2018-12-23,31,False
2018-12-30,28,False
2019-01-06,24,False
2019-01-13,60,False
2019-01-20,57,False
2019-01-27,24,False
2019-02-03,49,False
2019-02-10,50,False
2019-02-17,33,False
2019-02-24,76,False
2019-03-03,51,False
2019-03-10,25,False
2019-03-17,66,False
2019-03-24,26,False
2019-03-31,40,False
2019-04-07,60,False
2019-04-14,56,False
2019-04-21,100,False
2019-04-28,34,False
2019-05-05,41,False
2019-05-12,50,False
2019-05-19,50,False
2019-05-26,35,False
2019-06-02,51,False
2019-06-09,40,False
2019-06-16,53,False
2019-06-23,39,False
2019-06-30,67,False
2019-07-07,24,False
2019-07-14,51,False
2019-07-21,0,False
2019-07-28,52,False
2019-08-04,54,False
2019-08-11,54,False
2019-08-18,37,False
2019-08-25,27,False
2019-09-01,94,False
2019-09-08,63,False
2019-09-15,51,False
2019-09-22,62,False
2019-09-29,33,False
2019-10-06,65,False
2019-10-13,48,False
2019-10-20,48,False
2019-10-27,24,False
2019-11-03,23,False
2019-11-10,40,False
2019-11-17,24,False
2019-11-24,55,False
2019-12-01,32,False
2019-12-08,84,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,0,False
2020-01-05,38,False
2020-01-12,56,False
2020-01-19,23,False
2020-01-26,45,False
2020-02-02,38,False
2020-02-09,33,False
2020-02-16,77,False
2020-02-23,46,False
2020-03-01,52,False
2020-03-08,21,False
2020-03-15,40,False
2020-03-22,52,False
2020-03-29,48,False
2020-04-05,45,False
2020-04-12,54,False
2020-04-19,49,False
2020-04-26,0,False
2020-05-03,42,False
2020-05-10,49,False
