date,Bungalow,isPartial
2018-01-07,77,False
2018-01-14,56,False
2018-01-21,49,False
2018-01-28,61,False
2018-02-04,21,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,42,False
2018-03-04,43,False
2018-03-11,29,False
2018-03-18,39,False
2018-03-25,55,False
2018-04-01,55,False
2018-04-08,36,False
2018-04-15,54,False
2018-04-22,35,False
2018-04-29,47,False
2018-05-06,45,False
2018-05-13,51,False
2018-05-20,74,False
2018-05-27,66,False
2018-06-03,62,False
2018-06-10,61,False
2018-06-17,84,False
2018-06-24,77,False
2018-07-01,89,False
2018-07-08,73,False
2018-07-15,98,False
2018-07-22,74,False
2018-07-29,84,False
2018-08-05,91,False
2018-08-12,81,False
2018-08-19,44,False
2018-08-26,56,False
2018-09-02,42,False
2018-09-09,58,False
2018-09-16,44,False
2018-09-23,30,False
2018-09-30,46,False
2018-10-07,55,False
2018-10-14,41,False
2018-10-21,24,False
2018-10-28,28,False
2018-11-04,37,False
2018-11-11,24,False
2018-11-18,33,False
2018-11-25,26,False
2018-12-02,17,False
2018-12-09,15,False
2018-12-16,26,False
2018-12-23,51,False
2018-12-30,55,False
2019-01-06,61,False
2019-01-13,49,False
2019-01-20,54,False
2019-01-27,59,False
2019-02-03,43,False
2019-02-10,48,False
2019-02-17,46,False
2019-02-24,34,False
2019-03-03,37,False
2019-03-10,33,False
2019-03-17,48,False
2019-03-24,34,False
2019-03-31,37,False
2019-04-07,28,False
2019-04-14,32,False
2019-04-21,55,False
2019-04-28,46,False
2019-05-05,48,False
2019-05-12,58,False
2019-05-19,50,False
2019-05-26,61,False
2019-06-02,57,False
2019-06-09,80,False
2019-06-16,79,False
2019-06-23,97,False
2019-06-30,69,False
2019-07-07,71,False
2019-07-14,81,False
2019-07-21,100,False
2019-07-28,62,False
2019-08-04,74,False
2019-08-11,40,False
2019-08-18,64,False
2019-08-25,67,False
2019-09-01,40,False
2019-09-08,34,False
2019-09-15,41,False
2019-09-22,45,False
2019-09-29,34,False
2019-10-06,33,False
2019-10-13,61,False
2019-10-20,33,False
2019-10-27,36,False
2019-11-03,34,False
2019-11-10,33,False
2019-11-17,21,False
2019-11-24,30,False
2019-12-01,27,False
2019-12-08,29,False
2019-12-15,39,False
2019-12-22,24,False
2019-12-29,43,False
2020-01-05,40,False
2020-01-12,53,False
2020-01-19,36,False
2020-01-26,37,False
2020-02-02,41,False
2020-02-09,24,False
2020-02-16,29,False
2020-02-23,48,False
2020-03-01,35,False
2020-03-08,50,False
2020-03-15,15,False
2020-03-22,16,False
2020-03-29,28,False
2020-04-05,36,False
2020-04-12,27,False
2020-04-19,45,False
2020-04-26,56,False
2020-05-03,63,False
2020-05-10,58,False
