date,scatole bomboniere,isPartial
2018-01-07,0,False
2018-01-14,24,False
2018-01-21,49,False
2018-01-28,24,False
2018-02-04,48,False
2018-02-11,52,False
2018-02-18,72,False
2018-02-25,35,False
2018-03-04,49,False
2018-03-11,49,False
2018-03-18,61,False
2018-03-25,0,False
2018-04-01,27,False
2018-04-08,39,False
2018-04-15,51,False
2018-04-22,26,False
2018-04-29,51,False
2018-05-06,25,False
2018-05-13,26,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,50,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,28,False
2018-08-12,0,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,38,False
2018-09-09,50,False
2018-09-16,0,False
2018-09-23,25,False
2018-09-30,0,False
2018-10-07,26,False
2018-10-14,39,False
2018-10-21,38,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,52,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,27,False
2018-12-23,28,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,25,False
2019-01-20,46,False
2019-01-27,0,False
2019-02-03,24,False
2019-02-10,36,False
2019-02-17,24,False
2019-02-24,24,False
2019-03-03,25,False
2019-03-10,24,False
2019-03-17,100,False
2019-03-24,38,False
2019-03-31,49,False
2019-04-07,50,False
2019-04-14,0,False
2019-04-21,26,False
2019-04-28,49,False
2019-05-05,48,False
2019-05-12,0,False
2019-05-19,59,False
2019-05-26,46,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,25,False
2019-06-23,26,False
2019-06-30,41,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,27,False
2019-07-28,27,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,56,False
2019-08-25,49,False
2019-09-01,46,False
2019-09-08,36,False
2019-09-15,23,False
2019-09-22,45,False
2019-09-29,23,False
2019-10-06,0,False
2019-10-13,24,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,43,False
2019-11-10,23,False
2019-11-17,23,False
2019-11-24,45,False
2019-12-01,71,False
2019-12-08,24,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,22,False
2020-01-19,45,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,34,False
2020-02-16,45,False
2020-02-23,21,False
2020-03-01,31,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,20,False
2020-04-12,39,False
2020-04-19,0,False
2020-04-26,0,True
