date,scatole bomboniere,isPartial
2018-01-07,0,False
2018-01-14,60,False
2018-01-21,29,False
2018-01-28,0,False
2018-02-04,57,False
2018-02-11,28,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,39,False
2018-03-11,80,False
2018-03-18,81,False
2018-03-25,58,False
2018-04-01,0,False
2018-04-08,81,False
2018-04-15,55,False
2018-04-22,87,False
2018-04-29,27,False
2018-05-06,66,False
2018-05-13,53,False
2018-05-20,27,False
2018-05-27,28,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,26,False
2018-06-24,28,False
2018-07-01,28,False
2018-07-08,28,False
2018-07-15,28,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,31,False
2018-08-12,36,False
2018-08-19,0,False
2018-08-26,32,False
2018-09-02,27,False
2018-09-09,53,False
2018-09-16,64,False
2018-09-23,53,False
2018-09-30,26,False
2018-10-07,27,False
2018-10-14,27,False
2018-10-21,26,False
2018-10-28,79,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,0,False
2018-11-25,53,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,0,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,25,False
2019-02-03,57,False
2019-02-10,29,False
2019-02-17,44,False
2019-02-24,39,False
2019-03-03,46,False
2019-03-10,30,False
2019-03-17,46,False
2019-03-24,30,False
2019-03-31,29,False
2019-04-07,28,False
2019-04-14,58,False
2019-04-21,100,False
2019-04-28,43,False
2019-05-05,52,False
2019-05-12,42,False
2019-05-19,100,False
2019-05-26,27,False
2019-06-02,29,False
2019-06-09,29,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,31,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,33,False
2019-08-04,35,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,64,False
2019-09-01,27,False
2019-09-08,29,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,28,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,55,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,0,False
2019-12-01,29,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,29,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,53,False
2020-02-02,26,False
2020-02-09,40,False
2020-02-16,54,False
2020-02-23,26,False
2020-03-01,25,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,26,False
2020-04-12,26,False
2020-04-19,0,False
2020-04-26,0,True
