date,tapezieren und streichen,isPartial
2018-01-07,33,False
2018-01-14,32,False
2018-01-21,44,False
2018-01-28,81,False
2018-02-04,33,False
2018-02-11,67,False
2018-02-18,100,False
2018-02-25,33,False
2018-03-04,0,False
2018-03-11,33,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,71,False
2018-04-08,34,False
2018-04-15,35,False
2018-04-22,34,False
2018-04-29,58,False
2018-05-06,35,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,51,False
2018-06-03,34,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,50,False
2018-07-15,35,False
2018-07-22,35,False
2018-07-29,0,False
2018-08-05,68,False
2018-08-12,52,False
2018-08-19,34,False
2018-08-26,34,False
2018-09-02,51,False
2018-09-09,33,False
2018-09-16,68,False
2018-09-23,34,False
2018-09-30,51,False
2018-10-07,67,False
2018-10-14,33,False
2018-10-21,65,False
2018-10-28,44,False
2018-11-04,53,False
2018-11-11,48,False
2018-11-18,32,False
2018-11-25,32,False
2018-12-02,96,False
2018-12-09,33,False
2018-12-16,100,False
2018-12-23,38,False
2018-12-30,34,False
2019-01-06,62,False
2019-01-13,31,False
2019-01-20,30,False
2019-01-27,46,False
2019-02-03,46,False
2019-02-10,31,False
2019-02-17,47,False
2019-02-24,64,False
2019-03-03,31,False
2019-03-10,31,False
2019-03-17,0,False
2019-03-24,65,False
2019-03-31,64,False
2019-04-07,32,False
2019-04-14,70,False
2019-04-21,34,False
2019-04-28,31,False
2019-05-05,61,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,32,False
2019-06-02,31,False
2019-06-09,48,False
2019-06-16,33,False
2019-06-23,32,False
2019-06-30,32,False
2019-07-07,47,False
2019-07-14,33,False
2019-07-21,34,False
2019-07-28,67,False
2019-08-04,51,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,48,False
2019-09-01,31,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,30,False
2019-09-29,31,False
2019-10-06,31,False
2019-10-13,46,False
2019-10-20,30,False
2019-10-27,89,False
2019-11-03,29,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,57,False
2019-12-01,30,False
2019-12-08,29,False
2019-12-15,30,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,28,False
2020-01-26,28,False
2020-02-02,56,False
2020-02-09,0,False
2020-02-16,28,False
2020-02-23,28,False
2020-03-01,27,False
2020-03-08,39,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,0,False
2020-04-05,55,False
2020-04-12,39,False
2020-04-19,34,False
2020-04-26,37,False
2020-05-03,51,False
2020-05-10,26,False
2020-05-17,61,True
