date,segnaposto matrimonio,isPartial
2018-01-07,29,False
2018-01-14,29,False
2018-01-21,28,False
2018-01-28,29,False
2018-02-04,43,False
2018-02-11,29,False
2018-02-18,28,False
2018-02-25,41,False
2018-03-04,80,False
2018-03-11,41,False
2018-03-18,28,False
2018-03-25,29,False
2018-04-01,30,False
2018-04-08,55,False
2018-04-15,70,False
2018-04-22,59,False
2018-04-29,57,False
2018-05-06,41,False
2018-05-13,82,False
2018-05-20,27,False
2018-05-27,56,False
2018-06-03,28,False
2018-06-10,41,False
2018-06-17,85,False
2018-06-24,43,False
2018-07-01,28,False
2018-07-08,29,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,31,False
2018-08-05,100,False
2018-08-12,38,False
2018-08-19,55,False
2018-08-26,45,False
2018-09-02,40,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,54,False
2018-09-30,0,False
2018-10-07,41,False
2018-10-14,28,False
2018-10-21,40,False
2018-10-28,27,False
2018-11-04,51,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,53,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,31,False
2019-01-06,27,False
2019-01-13,26,False
2019-01-20,64,False
2019-01-27,0,False
2019-02-03,26,False
2019-02-10,26,False
2019-02-17,40,False
2019-02-24,27,False
2019-03-03,27,False
2019-03-10,53,False
2019-03-17,27,False
2019-03-24,84,False
2019-03-31,55,False
2019-04-07,27,False
2019-04-14,56,False
2019-04-21,0,False
2019-04-28,56,False
2019-05-05,54,False
2019-05-12,40,False
2019-05-19,26,False
2019-05-26,51,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,54,False
2019-06-23,28,False
2019-06-30,28,False
2019-07-07,42,False
2019-07-14,57,False
2019-07-21,30,False
2019-07-28,30,False
2019-08-04,33,False
2019-08-11,37,False
2019-08-18,0,False
2019-08-25,30,False
2019-09-01,26,False
2019-09-08,53,False
2019-09-15,51,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,73,False
2019-10-27,50,False
2019-11-03,0,False
2019-11-10,24,False
2019-11-17,25,False
2019-11-24,24,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,31,False
2019-12-29,0,False
2020-01-05,50,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,35,False
2020-02-09,24,False
2020-02-16,23,False
2020-02-23,88,False
2020-03-01,67,False
2020-03-08,22,False
2020-03-15,0,False
2020-03-22,43,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
