date,segnaposto matrimonio,isPartial
2018-01-07,49,False
2018-01-14,33,False
2018-01-21,95,False
2018-01-28,63,False
2018-02-04,62,False
2018-02-11,91,False
2018-02-18,86,False
2018-02-25,42,False
2018-03-04,85,False
2018-03-11,58,False
2018-03-18,44,False
2018-03-25,94,False
2018-04-01,0,False
2018-04-08,29,False
2018-04-15,60,False
2018-04-22,63,False
2018-04-29,30,False
2018-05-06,87,False
2018-05-13,43,False
2018-05-20,29,False
2018-05-27,60,False
2018-06-03,30,False
2018-06-10,72,False
2018-06-17,56,False
2018-06-24,91,False
2018-07-01,60,False
2018-07-08,30,False
2018-07-15,77,False
2018-07-22,77,False
2018-07-29,31,False
2018-08-05,100,False
2018-08-12,39,False
2018-08-19,41,False
2018-08-26,69,False
2018-09-02,89,False
2018-09-09,29,False
2018-09-16,42,False
2018-09-23,0,False
2018-09-30,72,False
2018-10-07,59,False
2018-10-14,29,False
2018-10-21,43,False
2018-10-28,28,False
2018-11-04,27,False
2018-11-11,28,False
2018-11-18,57,False
2018-11-25,58,False
2018-12-02,53,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,38,False
2018-12-30,33,False
2019-01-06,33,False
2019-01-13,47,False
2019-01-20,45,False
2019-01-27,27,False
2019-02-03,31,False
2019-02-10,94,False
2019-02-17,48,False
2019-02-24,28,False
2019-03-03,33,False
2019-03-10,33,False
2019-03-17,0,False
2019-03-24,32,False
2019-03-31,0,False
2019-04-07,30,False
2019-04-14,31,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,86,False
2019-05-12,61,False
2019-05-19,62,False
2019-05-26,60,False
2019-06-02,32,False
2019-06-09,94,False
2019-06-16,83,False
2019-06-23,50,False
2019-06-30,51,False
2019-07-07,31,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,54,False
2019-08-04,38,False
2019-08-11,84,False
2019-08-18,40,False
2019-08-25,35,False
2019-09-01,90,False
2019-09-08,63,False
2019-09-15,30,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,59,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,30,False
2019-12-01,31,False
2019-12-08,31,False
2019-12-15,0,False
2019-12-22,76,False
2019-12-29,36,False
2020-01-05,62,False
2020-01-12,57,False
2020-01-19,73,False
2020-01-26,86,False
2020-02-02,57,False
2020-02-09,58,False
2020-02-16,88,False
2020-02-23,28,False
2020-03-01,55,False
2020-03-08,0,False
2020-03-15,28,False
2020-03-22,0,False
2020-03-29,27,False
2020-04-05,28,False
2020-04-12,0,False
2020-04-19,26,False
2020-04-26,0,True
