date,segnaposto matrimonio,isPartial
2018-01-07,30,False
2018-01-14,74,False
2018-01-21,44,False
2018-01-28,58,False
2018-02-04,28,False
2018-02-11,43,False
2018-02-18,28,False
2018-02-25,0,False
2018-03-04,43,False
2018-03-11,29,False
2018-03-18,57,False
2018-03-25,30,False
2018-04-01,31,False
2018-04-08,44,False
2018-04-15,30,False
2018-04-22,0,False
2018-04-29,60,False
2018-05-06,89,False
2018-05-13,59,False
2018-05-20,88,False
2018-05-27,31,False
2018-06-03,30,False
2018-06-10,97,False
2018-06-17,28,False
2018-06-24,28,False
2018-07-01,29,False
2018-07-08,43,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,56,False
2018-08-05,0,False
2018-08-12,25,False
2018-08-19,0,False
2018-08-26,38,False
2018-09-02,41,False
2018-09-09,57,False
2018-09-16,57,False
2018-09-23,29,False
2018-09-30,0,False
2018-10-07,46,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,30,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,0,False
2019-01-06,28,False
2019-01-13,57,False
2019-01-20,53,False
2019-01-27,0,False
2019-02-03,39,False
2019-02-10,26,False
2019-02-17,68,False
2019-02-24,27,False
2019-03-03,0,False
2019-03-10,27,False
2019-03-17,28,False
2019-03-24,54,False
2019-03-31,41,False
2019-04-07,80,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,26,False
2019-05-05,27,False
2019-05-12,78,False
2019-05-19,26,False
2019-05-26,38,False
2019-06-02,55,False
2019-06-09,0,False
2019-06-16,28,False
2019-06-23,27,False
2019-06-30,56,False
2019-07-07,38,False
2019-07-14,0,False
2019-07-21,68,False
2019-07-28,52,False
2019-08-04,26,False
2019-08-11,27,False
2019-08-18,26,False
2019-08-25,26,False
2019-09-01,74,False
2019-09-08,100,False
2019-09-15,25,False
2019-09-22,25,False
2019-09-29,25,False
2019-10-06,52,False
2019-10-13,0,False
2019-10-20,38,False
2019-10-27,26,False
2019-11-03,24,False
2019-11-10,50,False
2019-11-17,0,False
2019-11-24,37,False
2019-12-01,39,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,26,False
2020-01-05,25,False
2020-01-12,24,False
2020-01-19,49,False
2020-01-26,36,False
2020-02-02,23,False
2020-02-09,24,False
2020-02-16,24,False
2020-02-23,57,False
2020-03-01,45,False
2020-03-08,21,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,39,False
2020-04-05,21,False
2020-04-12,0,False
2020-04-19,19,False
2020-04-26,0,True
