date,feste compleanno bambini,isPartial
2018-01-07,65,False
2018-01-14,71,False
2018-01-21,56,False
2018-01-28,99,False
2018-02-04,28,False
2018-02-11,35,False
2018-02-18,34,False
2018-02-25,13,False
2018-03-04,33,False
2018-03-11,27,False
2018-03-18,20,False
2018-03-25,28,False
2018-04-01,29,False
2018-04-08,40,False
2018-04-15,21,False
2018-04-22,29,False
2018-04-29,42,False
2018-05-06,20,False
2018-05-13,53,False
2018-05-20,53,False
2018-05-27,14,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,35,False
2018-06-24,14,False
2018-07-01,21,False
2018-07-08,14,False
2018-07-15,21,False
2018-07-22,22,False
2018-07-29,0,False
2018-08-05,33,False
2018-08-12,18,False
2018-08-19,72,False
2018-08-26,88,False
2018-09-02,79,False
2018-09-09,59,False
2018-09-16,58,False
2018-09-23,46,False
2018-09-30,65,False
2018-10-07,47,False
2018-10-14,40,False
2018-10-21,52,False
2018-10-28,20,False
2018-11-04,100,False
2018-11-11,52,False
2018-11-18,25,False
2018-11-25,39,False
2018-12-02,46,False
2018-12-09,19,False
2018-12-16,13,False
2018-12-23,24,False
2018-12-30,23,False
2019-01-06,40,False
2019-01-13,44,False
2019-01-20,38,False
2019-01-27,44,False
2019-02-03,38,False
2019-02-10,63,False
2019-02-17,19,False
2019-02-24,26,False
2019-03-03,40,False
2019-03-10,13,False
2019-03-17,47,False
2019-03-24,27,False
2019-03-31,20,False
2019-04-07,13,False
2019-04-14,14,False
2019-04-21,15,False
2019-04-28,34,False
2019-05-05,20,False
2019-05-12,19,False
2019-05-19,32,False
2019-05-26,19,False
2019-06-02,27,False
2019-06-09,53,False
2019-06-16,27,False
2019-06-23,35,False
2019-06-30,21,False
2019-07-07,14,False
2019-07-14,21,False
2019-07-21,14,False
2019-07-28,44,False
2019-08-04,48,False
2019-08-11,18,False
2019-08-18,50,False
2019-08-25,37,False
2019-09-01,44,False
2019-09-08,71,False
2019-09-15,56,False
2019-09-22,56,False
2019-09-29,56,False
2019-10-06,75,False
2019-10-13,43,False
2019-10-20,54,False
2019-10-27,24,False
2019-11-03,30,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,29,False
2019-12-01,43,False
2019-12-08,19,False
2019-12-15,25,False
2019-12-22,15,False
2019-12-29,43,False
2020-01-05,37,False
2020-01-12,56,False
2020-01-19,82,False
2020-01-26,45,False
2020-02-02,51,False
2020-02-09,23,False
2020-02-16,34,False
2020-02-23,22,False
2020-03-01,16,False
2020-03-08,0,False
2020-03-15,11,False
2020-03-22,0,False
2020-03-29,11,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,0,False
2020-04-26,0,True
