date,feste compleanno bambini,isPartial
2018-01-07,87,False
2018-01-14,91,False
2018-01-21,66,False
2018-01-28,78,False
2018-02-04,53,False
2018-02-11,51,False
2018-02-18,76,False
2018-02-25,49,False
2018-03-04,58,False
2018-03-11,59,False
2018-03-18,42,False
2018-03-25,41,False
2018-04-01,46,False
2018-04-08,45,False
2018-04-15,43,False
2018-04-22,41,False
2018-04-29,40,False
2018-05-06,36,False
2018-05-13,51,False
2018-05-20,39,False
2018-05-27,49,False
2018-06-03,40,False
2018-06-10,49,False
2018-06-17,45,False
2018-06-24,18,False
2018-07-01,48,False
2018-07-08,27,False
2018-07-15,34,False
2018-07-22,31,False
2018-07-29,28,False
2018-08-05,19,False
2018-08-12,20,False
2018-08-19,67,False
2018-08-26,46,False
2018-09-02,98,False
2018-09-09,68,False
2018-09-16,84,False
2018-09-23,71,False
2018-09-30,92,False
2018-10-07,46,False
2018-10-14,62,False
2018-10-21,63,False
2018-10-28,47,False
2018-11-04,40,False
2018-11-11,82,False
2018-11-18,44,False
2018-11-25,24,False
2018-12-02,39,False
2018-12-09,21,False
2018-12-16,25,False
2018-12-23,14,False
2018-12-30,66,False
2019-01-06,100,False
2019-01-13,68,False
2019-01-20,54,False
2019-01-27,42,False
2019-02-03,48,False
2019-02-10,49,False
2019-02-17,59,False
2019-02-24,41,False
2019-03-03,49,False
2019-03-10,42,False
2019-03-17,51,False
2019-03-24,36,False
2019-03-31,36,False
2019-04-07,47,False
2019-04-14,40,False
2019-04-21,35,False
2019-04-28,24,False
2019-05-05,55,False
2019-05-12,32,False
2019-05-19,48,False
2019-05-26,22,False
2019-06-02,44,False
2019-06-09,42,False
2019-06-16,42,False
2019-06-23,25,False
2019-06-30,37,False
2019-07-07,41,False
2019-07-14,21,False
2019-07-21,43,False
2019-07-28,31,False
2019-08-04,32,False
2019-08-11,48,False
2019-08-18,41,False
2019-08-25,70,False
2019-09-01,82,False
2019-09-08,69,False
2019-09-15,75,False
2019-09-22,91,False
2019-09-29,47,False
2019-10-06,48,False
2019-10-13,54,False
2019-10-20,57,False
2019-10-27,55,False
2019-11-03,69,False
2019-11-10,54,False
2019-11-17,40,False
2019-11-24,24,False
2019-12-01,39,False
2019-12-08,39,False
2019-12-15,11,False
2019-12-22,13,False
2019-12-29,40,False
2020-01-05,36,False
2020-01-12,70,False
2020-01-19,74,False
2020-01-26,51,False
2020-02-02,44,False
2020-02-09,32,False
2020-02-16,31,False
2020-02-23,5,False
2020-03-01,24,False
2020-03-08,5,False
2020-03-15,5,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,5,False
2020-04-12,5,False
2020-04-19,7,False
2020-04-26,16,True
