date,Markise,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,25,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,13,False
2018-02-18,0,False
2018-02-25,25,False
2018-03-04,13,False
2018-03-11,0,False
2018-03-18,38,False
2018-03-25,40,False
2018-04-01,41,False
2018-04-08,27,False
2018-04-15,13,False
2018-04-22,52,False
2018-04-29,66,False
2018-05-06,54,False
2018-05-13,37,False
2018-05-20,26,False
2018-05-27,0,False
2018-06-03,13,False
2018-06-10,12,False
2018-06-17,12,False
2018-06-24,12,False
2018-07-01,25,False
2018-07-08,13,False
2018-07-15,53,False
2018-07-22,52,False
2018-07-29,68,False
2018-08-05,39,False
2018-08-12,0,False
2018-08-19,39,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,0,False
2018-09-30,13,False
2018-10-07,13,False
2018-10-14,13,False
2018-10-21,0,False
2018-10-28,13,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,24,False
2018-11-25,25,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,23,False
2019-01-20,11,False
2019-01-27,0,False
2019-02-03,11,False
2019-02-10,12,False
2019-02-17,12,False
2019-02-24,35,False
2019-03-03,12,False
2019-03-10,46,False
2019-03-17,36,False
2019-03-24,24,False
2019-03-31,12,False
2019-04-07,0,False
2019-04-14,52,False
2019-04-21,25,False
2019-04-28,12,False
2019-05-05,11,False
2019-05-12,11,False
2019-05-19,35,False
2019-05-26,12,False
2019-06-02,73,False
2019-06-09,63,False
2019-06-16,50,False
2019-06-23,50,False
2019-06-30,50,False
2019-07-07,12,False
2019-07-14,38,False
2019-07-21,67,False
2019-07-28,38,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,36,False
2019-08-25,12,False
2019-09-01,12,False
2019-09-08,12,False
2019-09-15,13,False
2019-09-22,0,False
2019-09-29,12,False
2019-10-06,36,False
2019-10-13,0,False
2019-10-20,12,False
2019-10-27,0,False
2019-11-03,11,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,12,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,12,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,11,False
2020-01-12,0,False
2020-01-19,33,False
2020-01-26,22,False
2020-02-02,11,False
2020-02-09,11,False
2020-02-16,12,False
2020-02-23,0,False
2020-03-01,11,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,9,False
2020-03-29,44,False
2020-04-05,83,False
2020-04-12,69,False
2020-04-19,95,False
2020-04-26,57,False
2020-05-03,100,False
2020-05-10,49,False
2020-05-17,22,False
2020-05-24,20,False
2020-05-31,40,False
2020-06-07,84,False
2020-06-14,40,False
2020-06-21,42,False
2020-06-28,10,False
2020-07-05,77,False
